s_winsize_sum,s_winsize_med,s_winsize_mean,s_winsize_std,d_winsize_mean,d_winsize_sum,d_winsize_med,s_bytes_sum,s_bytes_max,d_winsize_std,s_bytes_std,d_bytes_sum,s_bytes_mean,d_bytes_mean,s_winsize_min,d_winsize_min,d_bytes_std,d_ttl_sum,d_winsize_max,dur,d_bytes_max,s_iat_sum,d_iat_max,s_winsize_max,s_iat_max,d_iat_sum,s_iat_mean,d_load,syn_ack,s_load,d_iat_mean,d_ttl_mean,s_iat_std,d_ttl_max,d_ttl_med,d_ttl_min,tcp_rtt,d_iat_med,s_iat_med,d_bytes_med,d_iat_std,s_ttl_sum,ack_cnt,d_iat_min,d_port,s_port,s_pkt_cnt,d_pkt_cnt,s_bytes_med,ack_dat,psh_cnt,s_iat_min,s_bytes_min,s_ttl_min,s_ttl_max,s_ttl_med,d_bytes_min,s_ttl_mean,syn_cnt,fin_cnt,rst_cnt,d_ttl_std,ece_cnt,cwr_cnt,proto,pkt_depth,neg_f1_score,compute_cost,Timestamp,source_experiment
True,False,False,False,False,True,False,True,False,True,False,True,True,True,False,False,True,False,True,True,False,False,True,False,True,False,True,True,False,True,True,True,False,True,True,True,True,True,False,False,True,False,True,False,False,False,False,False,True,True,True,False,False,True,False,True,False,True,False,False,False,False,False,False,True,34.0,-0.9040348194814579,4746.999999999997,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/10_50_440
False,True,True,True,True,False,True,False,True,False,True,False,False,False,True,True,False,True,False,False,True,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,True,False,True,True,True,True,True,False,False,False,True,True,False,True,False,True,False,True,True,True,True,True,True,False,14.0,-0.9520879454854497,2103.000000000001,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/10_50_440
False,False,False,False,True,False,False,False,True,False,True,False,True,True,True,False,False,False,False,True,False,True,True,False,True,True,True,False,False,False,True,True,False,False,False,False,True,True,False,False,True,True,True,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,True,True,False,True,True,True,False,7.0,-0.9226147399561991,833.9999999999997,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/10_50_440
True,True,True,True,False,True,True,True,False,True,False,True,False,False,False,True,True,True,True,False,True,False,False,True,False,False,False,True,True,True,False,False,True,True,True,True,False,False,True,True,False,False,False,True,False,True,True,True,True,True,False,True,False,False,True,True,True,True,False,False,True,False,False,False,True,37.0,-0.9322557351110987,5838.999999999996,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/10_50_440
True,False,True,True,False,True,False,False,True,False,True,True,True,False,False,True,True,True,False,True,False,False,True,True,False,True,True,False,False,True,True,True,True,False,False,False,False,False,False,True,False,True,True,True,True,False,True,False,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,True,20.0,-0.9164740292795029,3071.000000000001,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/10_50_440
False,True,False,False,True,False,True,True,False,True,False,False,False,True,True,False,False,False,True,False,True,True,False,False,True,False,False,True,True,False,False,False,False,True,True,True,True,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,27.0,-0.9166265357855721,3932.9999999999995,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/10_50_440
False,False,True,True,True,False,False,True,False,True,False,False,True,False,True,True,False,True,True,True,False,True,True,True,False,False,True,True,False,False,True,True,True,True,True,True,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True,True,True,True,True,False,True,False,False,False,False,True,False,True,False,44.0,-0.9133206836188232,5162.999999999996,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/10_50_440
True,True,False,False,False,True,True,False,True,False,True,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,True,True,True,False,True,True,False,False,True,True,False,True,True,True,False,False,False,False,False,True,False,True,True,True,True,False,True,False,True,1.0,-0.8931978932123498,397.0,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/10_50_440
True,False,True,False,True,True,False,False,True,True,True,True,False,False,True,True,False,True,False,True,False,True,True,True,True,False,False,True,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,42.0,-0.9157610742687232,4455.000000000002,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/10_50_440
False,True,False,True,False,False,True,True,False,False,False,False,True,True,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,True,False,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,False,True,True,False,True,12.0,-0.9369311014155736,2276.9999999999995,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/10_50_440
