s_winsize_sum,s_winsize_med,s_winsize_mean,s_winsize_std,d_winsize_mean,d_winsize_sum,d_winsize_med,s_bytes_sum,s_bytes_max,d_winsize_std,s_bytes_std,d_bytes_sum,s_bytes_mean,d_bytes_mean,s_winsize_min,d_winsize_min,d_bytes_std,d_ttl_sum,d_winsize_max,dur,d_bytes_max,s_iat_sum,d_iat_max,s_winsize_max,s_iat_max,d_iat_sum,s_iat_mean,d_load,syn_ack,s_load,d_iat_mean,d_ttl_mean,s_iat_std,d_ttl_max,d_ttl_med,d_ttl_min,tcp_rtt,d_iat_med,s_iat_med,d_bytes_med,d_iat_std,s_ttl_sum,ack_cnt,d_iat_min,d_port,s_port,s_pkt_cnt,d_pkt_cnt,s_bytes_med,ack_dat,psh_cnt,s_iat_min,s_bytes_min,s_ttl_min,s_ttl_max,s_ttl_med,d_bytes_min,s_ttl_mean,syn_cnt,fin_cnt,rst_cnt,d_ttl_std,ece_cnt,cwr_cnt,proto,pkt_depth,neg_f1_score,compute_cost,Timestamp
false,true,false,true,true,false,false,false,false,true,false,true,true,false,false,true,true,true,true,true,false,true,true,true,false,true,true,false,true,false,false,true,true,false,true,false,true,false,true,false,true,true,true,true,false,true,true,true,true,false,true,true,false,true,true,false,true,false,true,true,true,true,false,true,false,2,-0.8939229767413057,447.0,102706
false,false,false,false,false,true,false,true,false,false,true,true,false,true,false,false,false,true,true,true,true,false,false,true,false,true,true,true,true,true,false,true,false,false,false,false,true,true,true,false,true,true,false,false,false,true,true,true,true,true,false,false,true,false,true,false,false,false,false,true,false,false,false,true,true,30,-0.8606440788253638,3131.0,168780
true,false,true,false,true,false,false,true,true,false,true,false,false,false,true,false,false,true,true,true,true,true,false,true,true,false,false,false,false,true,true,false,true,true,false,true,false,true,true,false,false,false,true,false,false,true,true,false,true,true,false,false,false,true,true,false,false,true,false,false,false,true,true,false,true,3,-0.9161933554994881,394.0,232509
true,false,true,true,false,false,true,false,false,true,true,false,false,true,false,false,true,true,false,true,false,false,false,false,true,false,true,true,true,true,true,true,false,true,false,true,true,false,true,true,false,true,false,false,true,false,false,false,true,true,true,true,false,false,false,false,true,true,true,true,false,true,true,true,true,49,-0.9017863243693193,6619.0,299094
false,true,false,false,true,false,false,true,false,false,false,false,false,true,false,true,true,true,false,false,true,false,false,false,false,true,true,false,false,false,false,true,true,true,true,false,false,false,true,false,true,true,true,false,false,true,false,true,false,false,false,false,true,false,false,false,false,true,true,false,true,true,false,true,true,8,-0.9151659931746373,1008.0,363813
true,true,false,true,true,false,true,false,true,false,false,false,false,false,true,true,true,false,false,false,true,true,true,true,false,false,false,true,false,true,true,false,true,true,false,true,false,false,false,false,true,false,false,true,true,false,false,true,true,true,false,false,true,false,true,false,true,false,true,true,false,true,false,true,false,20,-0.9368073273882116,2955.0,428931
true,true,false,true,true,false,false,true,false,true,true,false,false,true,false,true,false,true,false,false,false,true,true,true,false,true,true,false,true,true,false,true,true,false,true,false,false,false,true,true,false,true,false,false,true,true,true,false,true,false,true,true,true,true,false,false,true,false,true,false,false,true,false,false,false,14,-0.8804881604501577,1976.0,493269
false,true,false,false,false,true,false,true,true,true,false,true,true,false,false,false,false,true,true,false,false,true,true,false,false,true,false,true,true,false,true,true,true,false,false,true,true,false,true,false,true,true,true,true,true,false,true,false,true,true,true,true,true,true,false,true,true,false,true,true,true,false,true,false,false,11,-0.9136690630315288,1537.0,558968
true,true,true,false,false,false,true,false,true,false,true,false,false,false,false,false,true,true,false,true,true,true,false,false,false,true,true,true,true,true,false,true,false,false,false,false,true,false,false,false,false,false,false,true,true,false,true,true,true,true,false,false,false,true,false,false,true,false,false,true,false,false,true,false,false,21,-0.8693313232776466,2405.0,624072
false,true,true,true,true,true,true,false,false,true,true,true,true,false,false,false,true,false,true,true,false,true,false,true,true,false,true,false,true,false,false,false,true,true,false,false,false,true,true,false,true,true,true,false,true,false,true,true,true,false,false,true,true,true,true,false,false,false,false,false,false,true,false,false,false,46,-0.8688054845334969,6735.0,689317
