s_winsize_sum,s_winsize_med,s_winsize_mean,s_winsize_std,d_winsize_mean,d_winsize_sum,d_winsize_med,s_bytes_sum,s_bytes_max,d_winsize_std,s_bytes_std,d_bytes_sum,s_bytes_mean,d_bytes_mean,s_winsize_min,d_winsize_min,d_bytes_std,d_ttl_sum,d_winsize_max,dur,d_bytes_max,s_iat_sum,d_iat_max,s_winsize_max,s_iat_max,d_iat_sum,s_iat_mean,d_load,syn_ack,s_load,d_iat_mean,d_ttl_mean,s_iat_std,d_ttl_max,d_ttl_med,d_ttl_min,tcp_rtt,d_iat_med,s_iat_med,d_bytes_med,d_iat_std,s_ttl_sum,ack_cnt,d_iat_min,d_port,s_port,s_pkt_cnt,d_pkt_cnt,s_bytes_med,ack_dat,psh_cnt,s_iat_min,s_bytes_min,s_ttl_min,s_ttl_max,s_ttl_med,d_bytes_min,s_ttl_mean,syn_cnt,fin_cnt,rst_cnt,d_ttl_std,ece_cnt,cwr_cnt,proto,pkt_depth,neg_f1_score,compute_cost,Timestamp
false,true,true,true,true,false,false,false,false,true,true,true,true,false,false,true,true,false,false,true,false,false,true,false,true,false,false,true,true,true,true,false,false,false,true,true,false,true,false,true,false,false,false,false,true,true,true,true,false,false,true,false,false,true,false,false,false,false,false,false,false,false,true,true,true,48,-0.8964383750194146,6127.0,64016
true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,false,true,false,false,false,false,false,true,false,true,true,false,false,true,false,false,false,false,false,false,false,false,false,17,-0.9362294321979008,2793.0,129983
true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,false,true,true,false,true,true,false,true,true,true,true,true,true,true,false,true,true,false,false,true,false,false,false,true,true,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,38,-0.8590421643102438,5667.0,194324
true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,false,true,true,true,true,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,1,-0.5557775018082439,153.0,253889
true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,false,true,false,false,true,true,true,true,true,true,false,true,false,true,false,false,true,true,false,false,true,false,false,true,false,false,true,true,true,true,false,false,false,false,false,false,false,false,26,-0.8974196860008676,4255.0,318395
true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,false,false,false,true,true,false,true,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,24,-0.885263250687201,3899.0,383042
true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,false,true,true,true,true,false,true,true,true,true,true,false,true,false,true,false,false,true,true,false,false,true,false,true,false,false,true,true,false,false,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,7,-0.921813078032858,1151.0,446883
true,true,true,true,true,true,true,true,false,true,false,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,false,false,true,true,false,true,true,false,false,true,true,true,false,false,true,true,false,false,true,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,21,-0.902682507112804,3603.0,510356
true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,false,false,true,true,true,true,true,true,true,false,false,false,true,false,true,false,true,false,true,true,true,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,47,-0.9395213567744551,5991.0,575674
true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,false,true,true,false,false,true,true,false,false,true,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,3,-0.9330084379384457,599.0,638300
false,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,true,false,false,true,true,true,true,false,true,true,true,true,true,true,false,true,true,false,false,true,false,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,2,-0.8869041526935046,382.0,703355
true,false,true,true,false,true,true,true,false,true,true,false,true,true,false,false,true,true,true,true,true,true,true,false,false,true,true,false,false,false,false,false,true,true,false,true,false,true,false,true,true,true,false,false,false,true,true,false,true,false,false,false,false,false,false,true,false,true,true,false,true,true,true,false,true,8,-0.9424154173880834,1256.0,769958
false,false,false,false,false,false,false,true,false,true,true,true,true,true,true,true,true,false,false,true,false,false,true,false,false,false,true,false,false,false,false,true,true,true,false,true,true,false,false,false,false,true,true,true,false,false,false,true,false,false,true,false,true,true,true,false,false,false,true,true,true,false,true,true,true,3,-0.8779335641124648,434.0,834192
true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,false,true,true,true,true,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,1,-0.8734918639447093,146.0,899412
true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,false,false,false,true,true,true,true,true,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,1,-0.7951443329642743,160.0,964319
false,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,false,false,true,true,true,true,true,false,true,true,true,true,true,false,false,true,true,true,true,false,true,true,true,true,true,false,false,true,true,true,false,false,false,false,false,false,true,true,true,false,false,false,13,-0.9308159517122624,2093.0,1032738
false,false,true,false,true,false,true,false,false,false,false,true,true,false,false,true,true,false,true,false,true,false,false,false,false,true,true,true,false,false,true,true,false,true,true,true,false,false,false,false,false,true,false,true,false,false,true,false,true,true,false,true,false,false,true,true,true,true,true,true,false,false,true,true,false,1,-0.5557775018082439,134.0,1097122
true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,false,false,true,false,true,true,true,false,false,false,false,true,false,false,true,true,true,true,false,true,true,true,false,true,true,true,true,false,true,true,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,14,-0.911589130205587,2167.0,1165309
false,false,false,true,true,false,false,false,true,true,false,true,false,true,true,true,true,false,false,false,false,true,true,true,false,false,false,true,false,true,false,true,true,false,false,true,false,true,false,true,true,false,true,false,false,false,false,true,true,false,true,true,false,true,true,true,false,true,false,false,true,true,true,true,true,50,-0.915783867323569,7439.0,1228398
