s_winsize_sum,s_winsize_med,s_winsize_mean,s_winsize_std,d_winsize_mean,d_winsize_sum,d_winsize_med,s_bytes_sum,s_bytes_max,d_winsize_std,s_bytes_std,d_bytes_sum,s_bytes_mean,d_bytes_mean,s_winsize_min,d_winsize_min,d_bytes_std,d_ttl_sum,d_winsize_max,dur,d_bytes_max,s_iat_sum,d_iat_max,s_winsize_max,s_iat_max,d_iat_sum,s_iat_mean,d_load,syn_ack,s_load,d_iat_mean,d_ttl_mean,s_iat_std,d_ttl_max,d_ttl_med,d_ttl_min,tcp_rtt,d_iat_med,s_iat_med,d_bytes_med,d_iat_std,s_ttl_sum,ack_cnt,d_iat_min,d_port,s_port,s_pkt_cnt,d_pkt_cnt,s_bytes_med,ack_dat,psh_cnt,s_iat_min,s_bytes_min,s_ttl_min,s_ttl_max,s_ttl_med,d_bytes_min,s_ttl_mean,syn_cnt,fin_cnt,rst_cnt,d_ttl_std,ece_cnt,cwr_cnt,proto,pkt_depth,neg_f1_score,compute_cost,Timestamp
true,true,false,true,false,true,false,false,false,true,true,false,true,true,false,false,true,false,false,true,true,false,true,true,true,true,true,true,true,false,false,true,true,false,true,true,false,true,true,false,true,true,true,false,true,true,false,false,true,false,false,true,true,false,true,false,false,true,true,true,true,false,false,false,false,35,-0.9093758971622107,5587.0,64527
true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,false,true,true,true,false,false,true,false,false,true,false,true,true,false,true,false,false,true,true,false,true,true,true,false,true,false,true,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,25,-0.91640449953074,3571.0,128909
true,true,true,true,true,true,true,false,true,true,false,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,false,false,false,true,true,false,true,true,true,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,11,-0.9452557753970853,1523.0,194367
true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,false,true,true,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,47,-0.9280029395761084,7131.0,260565
true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,false,false,true,false,true,true,true,true,true,true,true,true,true,true,false,true,false,false,true,true,true,true,true,false,true,false,false,true,false,true,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,10,-0.9247117137791234,1440.0,325761
true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,false,true,true,true,true,true,false,true,false,true,false,false,true,true,false,true,false,true,false,false,false,true,true,true,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,3,-0.8830366758225344,520.0,388853
true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,false,true,true,true,false,false,false,true,false,false,false,true,false,true,false,true,false,false,false,true,true,false,false,false,true,false,false,false,false,false,false,false,false,false,20,-0.9082705246936584,3127.0,453839
true,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,false,true,false,true,true,false,true,false,true,false,false,true,false,true,false,false,false,true,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,20,-0.9147679869304497,2815.0,519160
true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,false,false,true,false,true,true,false,false,true,true,true,true,true,true,false,false,true,true,false,false,true,false,false,false,false,false,false,false,false,15,-0.9632159113051427,2105.0,583992
true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,false,true,true,false,false,false,false,true,false,true,true,false,false,true,false,true,false,false,true,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,true,true,false,false,false,false,false,false,19,-0.9158892538506965,2543.0,648646
