dur,proto,s_port,d_port,s_load,d_load,s_pkt_cnt,d_pkt_cnt,s_iat_mean,d_iat_mean,tcp_rtt,syn_ack,ack_dat,s_bytes_sum,d_bytes_sum,s_bytes_mean,d_bytes_mean,s_bytes_min,d_bytes_min,s_bytes_max,d_bytes_max,s_bytes_med,d_bytes_med,s_bytes_std,d_bytes_std,s_iat_sum,d_iat_sum,s_iat_min,d_iat_min,s_iat_max,d_iat_max,s_iat_med,d_iat_med,s_iat_std,d_iat_std,s_winsize_sum,d_winsize_sum,s_winsize_mean,d_winsize_mean,s_winsize_min,d_winsize_min,s_winsize_max,d_winsize_max,s_winsize_med,d_winsize_med,s_winsize_std,d_winsize_std,s_ttl_sum,d_ttl_sum,s_ttl_mean,d_ttl_mean,s_ttl_min,d_ttl_min,s_ttl_max,d_ttl_max,s_ttl_med,d_ttl_med,s_ttl_std,d_ttl_std,cwr_cnt,ece_cnt,urg_cnt,ack_cnt,psh_cnt,rst_cnt,syn_cnt,fin_cnt,pkt_depth,neg_f1_score,compute_cost,timestamp
false,false,true,false,true,true,false,true,true,true,true,false,false,false,true,false,true,false,true,true,true,true,true,false,true,true,false,true,false,false,false,true,false,true,false,false,true,true,true,true,false,false,true,false,false,false,false,true,true,false,false,true,true,false,false,true,true,true,true,true,false,false,false,false,false,true,true,41,-0.9283371612692568,5434.999999999999,74413
false,true,false,true,false,false,true,false,false,false,false,true,true,false,true,true,true,false,true,false,true,false,true,true,false,false,true,true,false,false,true,false,false,true,true,false,false,false,false,false,false,true,false,false,true,true,false,true,true,false,false,true,false,false,false,true,false,false,false,false,true,true,true,false,true,false,false,21,-0.8980114265064888,3020.999999999998,139661
false,false,true,true,true,true,false,false,true,false,true,false,false,true,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,true,true,false,true,false,true,false,false,true,true,true,true,false,true,true,false,true,false,false,false,true,true,true,false,false,false,false,true,false,true,true,true,true,true,false,19,-0.9381048058349847,2576.9999999999995,206975
true,true,false,false,false,false,false,true,true,false,true,true,true,false,false,false,false,true,false,true,false,false,false,false,true,true,true,false,true,true,false,false,false,false,true,false,true,true,false,false,false,true,false,true,false,true,true,true,true,true,true,false,false,false,false,true,true,true,false,false,false,true,true,true,false,true,true,27,-0.9227779381317028,3710.9999999999977,274588
true,false,true,false,true,false,true,false,false,true,true,true,true,true,false,false,false,true,false,true,false,true,false,false,true,true,false,false,true,true,true,false,true,false,false,false,true,false,false,false,false,false,true,false,true,true,true,false,true,true,true,true,true,false,false,true,false,true,false,true,true,false,true,true,true,false,false,44,-0.9042876108397652,5818.999999999994,341242
true,true,false,false,false,true,true,true,true,true,false,true,true,false,false,true,true,true,false,false,true,false,false,false,false,false,false,true,false,true,false,true,true,true,true,false,false,true,false,false,false,false,true,false,true,false,true,true,false,false,true,false,true,false,true,false,false,true,true,false,true,false,true,false,false,true,false,18,-0.9092720194287363,2424.999999999998,487693
true,false,true,false,false,false,true,false,false,true,false,true,false,false,true,false,true,false,false,true,false,true,true,false,true,true,true,false,false,false,true,true,false,false,true,true,true,true,true,true,true,false,false,false,true,false,false,true,false,true,false,false,false,true,false,false,true,true,true,true,false,true,false,true,false,true,true,10,-0.9529587410668443,1537.9999999999989,552794
false,true,true,false,true,true,false,true,true,false,true,false,false,true,true,false,false,true,true,false,true,true,true,true,false,false,true,false,true,false,true,true,true,true,true,true,false,false,true,true,true,false,true,true,false,false,false,false,false,false,true,true,false,false,false,true,false,false,true,true,true,true,true,true,true,false,true,22,-0.8261400824024452,3828.9999999999995,618087
false,true,false,true,true,false,false,true,false,false,false,false,false,true,false,true,false,false,false,true,true,false,false,true,false,false,false,true,true,false,true,true,false,false,true,true,false,false,true,true,true,true,false,true,true,false,true,false,false,true,true,false,true,false,true,true,true,true,false,false,false,false,false,true,true,false,false,8,-0.9300286979331576,1172.9999999999995,682046
true,false,true,true,false,false,false,true,true,false,false,false,true,true,false,true,true,true,true,true,false,true,true,true,false,false,false,false,true,true,false,false,true,false,false,true,true,true,true,true,true,true,true,false,false,true,true,false,true,true,false,true,false,true,true,false,true,false,true,true,false,false,true,true,true,true,true,7,-0.9295772772441471,1014.0,746341
