dur,proto,s_port,d_port,s_load,d_load,s_pkt_cnt,d_pkt_cnt,s_iat_mean,d_iat_mean,tcp_rtt,syn_ack,ack_dat,s_bytes_sum,d_bytes_sum,s_bytes_mean,d_bytes_mean,s_bytes_min,d_bytes_min,s_bytes_max,d_bytes_max,s_bytes_med,d_bytes_med,s_bytes_std,d_bytes_std,s_iat_sum,d_iat_sum,s_iat_min,d_iat_min,s_iat_max,d_iat_max,s_iat_med,d_iat_med,s_iat_std,d_iat_std,s_winsize_sum,d_winsize_sum,s_winsize_mean,d_winsize_mean,s_winsize_min,d_winsize_min,s_winsize_max,d_winsize_max,s_winsize_med,d_winsize_med,s_winsize_std,d_winsize_std,s_ttl_sum,d_ttl_sum,s_ttl_mean,d_ttl_mean,s_ttl_min,d_ttl_min,s_ttl_max,d_ttl_max,s_ttl_med,d_ttl_med,s_ttl_std,d_ttl_std,cwr_cnt,ece_cnt,urg_cnt,ack_cnt,psh_cnt,rst_cnt,syn_cnt,fin_cnt,pkt_depth,neg_f1_score,compute_cost,timestamp
false,true,false,true,true,true,true,false,true,true,true,true,true,false,true,false,false,true,false,false,false,true,false,false,true,true,true,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,true,false,true,false,true,false,false,false,false,true,true,false,true,true,true,false,false,true,true,false,false,true,false,false,14,-0.9039381747379617,2165.0,167282
false,true,false,false,true,true,false,true,false,true,false,false,true,true,true,true,false,false,false,true,false,false,false,true,false,false,false,false,false,true,false,false,true,false,true,false,true,false,true,true,false,true,true,true,false,false,false,false,true,true,false,true,true,false,true,false,false,false,false,true,false,false,false,false,false,true,true,47,-0.9045051686312535,4503.000000000002,233217
false,true,false,false,false,false,false,false,true,false,true,true,false,true,false,true,true,false,true,true,false,true,true,false,false,true,true,false,false,true,false,false,false,true,false,true,true,true,false,false,true,false,false,true,true,true,false,false,true,false,true,false,false,false,false,true,false,false,true,false,true,false,false,true,true,false,true,13,-0.906517914877821,2198.9999999999995,298564
true,false,false,false,true,false,false,false,false,true,false,false,false,true,false,true,false,true,true,false,false,true,false,false,false,false,true,true,true,false,true,false,false,false,true,false,true,false,false,true,false,false,true,false,false,false,false,true,false,true,false,false,true,false,true,false,false,true,false,false,false,true,true,true,true,true,true,3,-0.8745788015496494,376.00000000000006,362013
true,true,true,false,true,true,false,false,false,false,true,true,false,true,false,false,true,false,true,false,false,false,false,false,false,true,true,false,true,false,false,true,true,true,true,false,true,true,true,true,true,false,false,true,true,false,true,false,true,false,false,true,true,false,true,true,false,true,true,true,false,true,false,false,true,false,true,20,-0.9182621243829105,3103.0000000000014,428155
false,false,true,false,true,true,false,false,true,false,true,true,true,true,true,false,false,true,false,true,true,false,false,true,true,true,true,false,true,false,true,true,false,true,false,true,true,false,false,false,false,true,false,false,false,false,false,true,false,false,true,false,false,false,true,true,false,false,false,false,true,true,false,true,false,true,false,16,-0.9202156129657565,2065.0000000000005,493940
true,true,false,true,false,true,true,true,true,true,true,false,false,true,true,false,false,true,false,true,true,true,true,true,true,false,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,true,true,false,true,true,false,false,false,true,true,true,false,false,false,false,false,false,true,false,false,false,true,true,false,false,true,4,-0.9345436751854538,698.9999999999998,557754
false,false,true,true,false,false,false,false,false,true,false,false,true,true,false,false,true,false,false,true,true,false,true,false,false,false,false,false,false,false,true,true,true,false,false,true,false,false,true,false,true,true,true,false,true,false,true,false,true,true,false,true,false,true,true,true,true,true,false,true,true,true,true,true,true,false,false,30,-0.8720128070271115,4695.000000000003,622243
true,false,false,true,true,false,true,true,true,true,false,true,false,false,false,true,false,false,true,true,true,false,false,true,true,true,false,false,false,true,false,true,false,true,true,false,false,false,true,true,false,false,true,true,false,true,false,false,true,false,true,true,false,true,false,false,true,false,true,true,true,false,true,false,false,true,false,5,-0.9068349468669366,761.9999999999999,687086
true,true,true,true,false,false,true,false,true,false,false,true,false,false,true,true,true,false,true,true,false,true,true,true,true,false,false,true,false,true,true,false,false,true,true,false,true,true,false,false,false,true,false,true,true,false,true,true,true,true,false,false,true,false,false,false,true,true,true,false,false,false,false,true,false,true,true,45,-0.9172529359977151,7046.999999999992,752959
