dur,proto,s_port,d_port,s_load,d_load,s_pkt_cnt,d_pkt_cnt,s_iat_mean,d_iat_mean,tcp_rtt,syn_ack,ack_dat,s_bytes_sum,d_bytes_sum,s_bytes_mean,d_bytes_mean,s_bytes_min,d_bytes_min,s_bytes_max,d_bytes_max,s_bytes_med,d_bytes_med,s_bytes_std,d_bytes_std,s_iat_sum,d_iat_sum,s_iat_min,d_iat_min,s_iat_max,d_iat_max,s_iat_med,d_iat_med,s_iat_std,d_iat_std,s_winsize_sum,d_winsize_sum,s_winsize_mean,d_winsize_mean,s_winsize_min,d_winsize_min,s_winsize_max,d_winsize_max,s_winsize_med,d_winsize_med,s_winsize_std,d_winsize_std,s_ttl_sum,d_ttl_sum,s_ttl_mean,d_ttl_mean,s_ttl_min,d_ttl_min,s_ttl_max,d_ttl_max,s_ttl_med,d_ttl_med,s_ttl_std,d_ttl_std,cwr_cnt,ece_cnt,urg_cnt,ack_cnt,psh_cnt,rst_cnt,syn_cnt,fin_cnt,pkt_depth,neg_f1_score,compute_cost,timestamp
false,false,false,true,true,false,true,false,false,false,false,true,true,true,true,false,false,false,true,false,false,false,false,true,true,true,true,false,true,false,true,true,false,true,true,false,true,true,false,true,true,false,true,false,true,true,true,false,false,true,false,true,true,true,false,true,false,true,false,true,false,false,true,false,true,false,false,47,-0.9186517901698356,6338.9999999999945,86206
true,true,false,false,true,true,false,false,true,true,false,true,false,true,true,true,false,true,false,false,true,false,true,false,true,true,true,false,false,false,false,true,true,false,true,true,true,true,true,true,false,false,true,false,false,false,true,true,false,true,true,true,false,true,true,false,false,false,true,false,true,false,true,false,true,false,false,1,-0.5557775018082439,96.99999999999996,148147
true,false,false,false,true,true,false,true,true,false,true,true,false,false,true,false,true,true,true,false,false,false,false,true,true,false,false,true,true,true,false,false,true,true,false,true,true,false,false,false,true,true,true,false,false,true,true,false,false,false,false,true,true,false,false,true,true,false,true,true,true,false,true,true,false,true,true,24,-0.9245331723656988,3700.999999999996,214182
false,false,true,true,true,false,false,false,false,false,true,false,false,true,true,false,true,false,false,false,false,false,true,false,false,false,true,false,true,true,true,false,false,false,true,true,false,true,false,true,true,false,true,true,true,false,true,true,true,true,false,false,true,true,false,false,false,true,true,false,true,true,true,true,true,true,true,26,-0.932161711835151,3282.999999999999,279678
false,true,true,false,false,false,false,false,true,false,true,false,true,false,true,false,false,false,false,false,false,true,true,false,false,true,false,true,false,false,true,false,true,true,false,false,false,true,true,true,true,true,false,true,true,true,false,false,true,false,true,true,true,false,true,false,false,true,false,false,false,true,false,true,true,false,true,14,-0.9032600664076772,1947.0,343337
true,true,true,false,false,true,true,true,false,true,false,true,false,false,false,false,true,true,false,true,true,false,false,false,true,true,false,false,false,true,false,false,false,false,true,false,false,false,true,false,true,true,false,true,true,false,false,false,false,true,false,false,false,true,true,false,false,false,true,true,true,false,true,true,false,true,true,41,-0.9212516778716189,4695.000000000003,407059
false,false,false,true,true,false,false,true,false,true,false,false,false,false,false,true,true,false,false,true,false,true,false,true,false,true,false,false,false,false,true,true,true,false,false,false,false,false,false,false,true,false,false,true,true,false,true,false,true,true,true,true,true,true,true,false,false,false,false,true,true,false,false,true,false,false,true,16,-0.9253017715101072,2198.9999999999995,470334
false,false,false,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,false,false,false,false,true,true,true,true,false,true,false,false,false,true,true,true,true,false,false,false,true,true,true,true,true,true,false,false,false,false,false,true,true,false,true,true,false,true,false,false,false,true,true,34,-0.8509238359919559,5111.0,535255
false,true,true,true,true,false,false,true,true,true,false,false,true,false,false,true,false,true,true,true,true,true,true,false,true,false,true,true,false,false,true,true,false,true,false,true,false,false,true,true,false,false,true,true,false,true,true,true,false,false,false,false,false,false,true,true,true,false,false,true,false,false,false,false,true,false,true,23,-0.7793165715335235,3528.999999999997,600156
false,false,true,false,false,false,false,true,false,false,true,true,false,true,false,true,true,true,false,true,false,false,false,true,true,true,false,true,true,true,false,false,true,true,true,false,true,false,false,false,true,true,false,false,false,false,false,true,false,false,true,false,false,true,false,true,true,false,true,false,true,true,false,false,true,true,false,22,-0.9277716807356836,2890.999999999998,665230
