dur,proto,s_port,d_port,s_load,d_load,s_pkt_cnt,d_pkt_cnt,s_iat_mean,d_iat_mean,tcp_rtt,syn_ack,ack_dat,s_bytes_sum,d_bytes_sum,s_bytes_mean,d_bytes_mean,s_bytes_min,d_bytes_min,s_bytes_max,d_bytes_max,s_bytes_med,d_bytes_med,s_bytes_std,d_bytes_std,s_iat_sum,d_iat_sum,s_iat_min,d_iat_min,s_iat_max,d_iat_max,s_iat_med,d_iat_med,s_iat_std,d_iat_std,s_winsize_sum,d_winsize_sum,s_winsize_mean,d_winsize_mean,s_winsize_min,d_winsize_min,s_winsize_max,d_winsize_max,s_winsize_med,d_winsize_med,s_winsize_std,d_winsize_std,s_ttl_sum,d_ttl_sum,s_ttl_mean,d_ttl_mean,s_ttl_min,d_ttl_min,s_ttl_max,d_ttl_max,s_ttl_med,d_ttl_med,s_ttl_std,d_ttl_std,cwr_cnt,ece_cnt,urg_cnt,ack_cnt,psh_cnt,rst_cnt,syn_cnt,fin_cnt,pkt_depth,neg_f1_score,compute_cost,timestamp
false,false,false,true,true,false,true,false,true,true,true,false,false,true,false,true,false,false,true,true,false,false,true,false,true,true,false,false,true,true,false,false,true,false,false,false,false,true,true,false,true,true,true,true,true,false,false,false,false,true,true,false,true,false,true,true,false,false,true,false,true,true,false,false,false,true,false,50,-0.9249413334060785,6599.000000000001,74381
true,false,false,false,false,true,false,false,false,true,false,true,false,false,true,true,false,true,false,false,true,false,true,false,false,false,false,true,false,false,false,false,true,true,false,false,false,true,false,true,false,true,true,false,true,false,true,false,true,false,false,false,false,false,true,false,true,false,true,true,false,false,true,true,false,true,true,26,-0.8978795884503018,3672.9999999999986,139765
false,true,true,false,false,true,true,true,true,false,false,false,true,false,false,true,true,true,false,false,true,true,false,false,true,false,true,false,true,true,false,false,true,true,false,false,true,false,false,true,true,false,false,true,false,true,false,true,false,false,false,true,true,false,false,false,false,false,true,false,true,true,false,false,true,false,true,14,-0.8908954736823066,1922.0000000000002,205081
false,false,false,false,false,true,true,false,true,false,true,true,true,true,false,false,false,true,false,true,true,false,true,true,true,true,true,false,false,true,true,true,true,false,true,true,true,false,true,true,false,true,true,false,false,false,true,false,true,true,true,true,false,false,false,false,true,false,false,true,true,false,true,true,false,false,false,34,-0.9138652114854765,4667.0,271437
true,true,true,false,true,false,true,true,false,true,true,true,false,true,true,false,false,false,true,false,false,true,false,true,false,false,true,false,false,false,true,false,false,false,false,true,false,true,false,true,false,false,false,true,false,true,false,false,false,true,false,true,false,true,true,true,true,true,false,true,false,true,true,false,true,false,false,30,-0.8915500715889167,3312.999999999999,336940
true,false,true,false,false,true,false,false,false,false,true,false,false,false,false,false,true,false,true,false,false,false,true,true,true,true,false,false,true,false,true,true,false,true,true,false,false,false,true,false,true,false,false,false,false,true,false,true,true,false,true,true,false,true,false,true,false,true,true,true,false,false,true,false,false,true,true,28,-0.9090083680988165,4079.0,401617
false,false,false,false,false,false,true,true,true,true,false,true,false,false,true,true,true,true,true,true,false,false,false,false,true,false,true,true,true,false,true,true,true,true,true,true,false,true,true,false,true,false,false,true,true,true,false,false,false,false,false,false,true,true,true,false,false,true,true,false,false,false,true,false,true,true,true,49,-0.9047512675515759,6898.999999999999,466996
false,false,true,true,true,false,false,true,true,false,false,true,false,true,true,true,true,false,false,false,true,true,false,true,false,true,false,true,true,true,true,false,true,false,true,true,false,false,false,true,true,false,true,false,true,false,false,true,true,true,true,true,true,false,false,true,true,false,false,false,false,true,false,true,false,true,false,16,-0.9076529013574358,2038.9999999999998,531663
true,true,true,true,true,false,false,true,false,false,false,true,true,false,false,true,false,true,false,false,false,true,false,false,false,false,true,false,false,true,false,true,false,false,true,false,true,false,true,false,true,true,true,true,true,true,true,true,false,true,true,false,true,false,true,false,true,true,true,true,true,false,false,true,false,false,true,13,-0.9519877374997102,2004.999999999999,595751
true,true,false,false,false,false,false,false,false,true,false,false,true,true,true,false,true,false,true,true,true,false,true,false,false,true,false,false,true,false,true,false,false,true,true,false,true,false,false,false,true,false,true,true,false,true,true,true,true,true,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,25,-0.9059841361293445,3190.9999999999986,660723
true,true,false,true,true,false,false,true,true,false,false,true,true,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,false,true,false,true,false,false,false,true,true,false,true,false,true,true,true,true,true,true,true,true,false,true,true,false,true,false,true,false,true,true,true,true,true,false,false,true,false,false,true,13,-0.9441905275085553,1965.9999999999995,732313
true,true,true,true,true,false,false,true,false,false,false,true,false,false,false,true,false,true,false,false,true,true,false,true,false,false,true,false,false,true,false,true,false,false,true,false,true,false,true,false,true,true,true,true,true,true,true,true,false,true,true,false,true,false,true,false,true,true,true,true,true,false,false,true,false,false,true,32,-0.9302844563193181,4987.000000000001,802650
true,true,false,true,true,false,true,true,false,true,false,true,true,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,true,true,false,true,false,true,true,false,true,false,true,false,true,false,true,true,true,true,true,true,true,true,true,false,true,false,true,false,true,false,true,true,true,false,false,true,false,false,true,13,-0.9375257840170638,1901.0000000000002,873323
true,false,true,true,true,false,true,true,false,false,false,true,true,false,false,true,false,true,true,false,false,true,false,false,false,true,true,true,false,false,false,false,false,false,true,false,true,false,true,false,true,true,true,true,true,true,true,true,false,true,false,true,true,false,false,true,true,true,true,true,true,false,false,true,false,false,true,13,-0.9083943566954364,1805.9999999999986,943209
true,false,false,true,true,false,true,true,true,true,false,false,true,false,false,true,false,true,false,false,false,true,false,false,false,false,true,false,false,true,false,true,false,true,true,false,true,false,true,false,true,false,true,true,true,true,true,true,true,true,true,false,true,false,true,false,true,false,true,true,true,false,false,true,false,false,true,13,-0.916514251359403,1814.9999999999993,1014958
true,true,false,true,true,false,false,false,false,false,true,true,true,false,false,true,false,true,false,false,false,true,false,false,false,false,false,false,false,true,false,true,false,false,true,false,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,false,true,false,true,false,true,true,false,true,true,false,true,true,false,true,true,13,-0.9232100090485842,2051.0,1085290
true,true,true,true,true,false,false,true,false,true,false,true,true,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false,true,false,true,false,false,true,false,true,false,true,false,true,false,true,true,true,true,false,true,false,true,true,false,true,false,true,false,true,true,true,true,true,false,false,true,false,false,true,13,-0.8924770923602433,2000.0,1155868
true,true,true,true,true,false,true,true,false,true,false,true,true,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,true,false,true,false,true,true,true,true,false,true,false,true,false,true,true,true,true,true,true,true,true,true,false,true,false,false,true,true,false,true,false,true,true,false,true,false,false,true,13,-0.9512490130805237,1957.9999999999989,1226385
true,true,true,true,true,false,true,true,false,false,false,true,true,false,false,true,false,false,true,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,true,true,true,false,true,false,true,false,false,true,true,true,true,true,true,true,true,false,true,false,false,true,true,false,true,false,true,true,false,true,false,false,true,13,-0.9521692739038997,2025.9999999999995,1296307
true,false,false,true,true,false,true,false,true,true,false,false,false,false,true,true,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,true,true,false,true,false,false,true,true,false,true,true,false,false,true,true,true,true,true,false,true,false,true,false,true,false,true,true,true,false,false,true,false,true,true,13,-0.9277852779063462,2220.999999999999,1366588
false,true,true,true,true,false,true,true,false,false,false,true,false,false,false,true,true,true,true,false,true,true,false,false,false,true,true,true,false,false,false,false,false,false,true,false,true,false,true,false,false,false,true,true,true,true,true,true,false,false,false,true,false,false,false,true,true,false,true,true,true,false,false,false,false,false,false,13,-0.9124552652055158,1758.9999999999995,1436025
true,true,false,true,true,false,false,true,false,true,false,true,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,true,false,true,true,true,true,false,true,true,false,false,true,true,false,true,true,true,true,true,true,false,true,false,false,true,true,false,true,false,true,true,false,true,false,true,true,13,-0.9281495192574326,1945.9999999999995,1506450
true,true,true,true,true,false,true,true,false,true,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,false,true,false,false,true,false,true,false,true,true,true,true,true,true,false,true,true,true,true,false,true,true,false,false,true,true,false,true,false,false,true,true,false,true,false,true,true,false,true,false,false,true,13,-0.9509188201663707,2270.999999999999,1576630
false,true,false,true,true,false,true,true,false,true,true,true,true,false,false,false,false,false,false,false,true,true,false,false,false,true,true,false,false,false,false,true,false,true,true,true,true,false,true,false,true,false,true,true,true,true,true,false,true,true,true,true,true,false,false,true,true,false,true,false,true,true,false,true,false,false,true,13,-0.935129414042429,1963.0,1647523
true,true,true,true,true,false,true,true,false,true,false,true,true,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,true,true,false,true,false,true,true,true,true,false,false,false,true,false,true,true,true,true,true,true,true,true,true,false,false,false,false,true,true,false,true,false,true,true,false,true,false,false,false,13,-0.9522907328635185,1998.9999999999998,1719153
true,true,true,true,true,false,true,true,false,true,true,true,true,false,false,false,false,false,false,true,false,true,false,false,false,false,true,false,true,true,false,true,false,true,true,true,true,true,false,false,true,false,true,true,true,true,true,true,false,true,true,true,false,false,false,true,true,false,true,false,true,true,false,true,false,false,true,13,-0.9160937250393327,2119.0,1790363
true,true,true,true,false,false,false,true,false,true,false,true,true,false,false,false,false,false,true,false,false,true,true,false,false,false,false,true,true,true,false,true,false,true,true,true,true,false,false,false,true,false,true,true,true,false,true,true,true,false,true,true,false,false,false,true,true,false,true,true,false,true,false,true,false,true,false,13,-0.943629017139413,2248.9999999999986,1860830
true,true,true,true,true,false,true,true,false,true,true,false,true,false,false,false,false,false,false,false,true,true,false,false,false,false,true,true,false,true,false,true,false,true,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true,true,true,false,false,false,false,false,true,false,true,false,true,false,false,true,false,false,true,13,-0.9161517986847905,1819.0,1931924
true,true,true,true,true,false,true,true,false,true,false,true,true,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,true,true,true,true,false,true,true,true,true,false,false,false,false,false,true,true,false,true,true,true,true,true,true,true,false,true,false,true,true,false,true,false,true,false,true,true,false,false,false,13,-0.8936038168858786,1961.999999999999,2003265
false,true,true,true,true,false,true,true,false,false,false,true,true,true,false,false,true,true,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,true,true,true,false,false,true,false,true,false,false,true,true,true,true,true,true,true,true,false,true,false,false,true,true,false,true,false,true,true,false,true,false,true,true,13,-0.9496442496245868,1861.999999999999,2073847
false,true,true,true,true,false,true,false,false,false,false,true,true,true,false,false,true,true,false,true,false,false,false,false,false,false,true,false,false,true,true,true,false,true,true,true,false,false,true,false,true,false,false,false,true,true,true,true,true,true,false,false,true,false,false,false,true,false,true,false,true,true,true,true,false,true,true,13,-0.9595051078057063,1686.999999999999,2143827
false,true,false,true,true,false,true,false,false,false,false,true,false,true,false,true,true,true,false,true,false,false,false,false,false,false,true,false,false,true,true,true,true,true,true,true,false,false,true,false,true,true,false,false,true,true,true,false,true,true,false,false,false,false,false,false,true,false,true,false,true,true,true,true,false,true,true,13,-0.9282946464870772,1757.9999999999998,2214505
true,true,true,true,true,false,true,false,false,false,false,false,true,true,false,true,false,true,false,true,false,false,false,false,false,false,true,false,false,true,false,true,true,false,true,true,false,false,true,true,false,false,false,false,true,true,true,true,true,true,false,false,true,false,false,false,true,false,true,false,true,true,true,true,false,true,true,13,-0.9493314856320966,1766.0000000000002,2284703
false,true,false,false,false,false,true,false,false,false,false,true,true,true,false,false,true,true,false,true,false,false,false,false,false,false,true,false,false,false,true,true,false,true,true,true,false,false,true,true,true,false,false,false,true,true,false,true,true,false,false,false,false,false,false,false,true,false,false,false,true,true,true,false,false,true,true,13,-0.9368609199012358,1696.9999999999993,2354755
false,true,true,true,true,false,true,false,false,false,false,true,true,true,false,false,true,false,false,false,false,false,true,false,true,false,true,true,false,true,true,true,false,true,true,true,false,false,true,false,false,false,false,false,true,true,true,true,true,true,false,false,true,false,true,false,true,false,true,false,true,true,true,true,false,true,true,13,-0.95608256845496,1869.9999999999993,2424772
false,true,true,true,true,true,true,false,false,false,false,true,true,true,false,false,true,true,false,true,false,false,false,false,false,false,true,false,false,false,true,true,false,true,true,true,false,false,true,false,false,false,false,false,true,true,true,true,false,false,false,false,true,false,false,false,true,false,true,false,true,true,false,true,true,true,true,13,-0.958803222057392,1685.9999999999998,2496481
true,true,true,true,true,false,true,false,true,false,true,true,true,true,false,false,false,true,true,true,false,false,false,false,false,false,true,true,false,true,true,true,false,true,true,true,false,false,true,false,true,false,false,false,true,false,false,true,true,true,false,false,true,false,false,false,true,false,true,false,true,true,true,true,false,true,false,13,-0.9444984893456196,1549.999999999999,2567148
false,true,true,false,true,false,true,false,false,false,true,true,true,true,false,false,true,true,false,false,false,false,true,false,false,true,true,false,false,true,true,true,false,true,true,true,false,false,false,false,true,true,false,false,true,true,true,true,false,true,false,false,true,false,false,true,true,false,false,false,true,true,true,true,false,true,true,13,-0.9080411759819255,2100.999999999999,2637852
false,true,true,true,true,false,true,false,false,false,false,false,true,true,false,false,true,true,true,true,false,false,true,false,false,false,false,true,false,true,true,true,false,true,false,true,false,false,true,false,false,false,false,false,true,true,true,true,true,true,false,false,true,false,false,true,true,false,true,true,true,true,false,true,false,true,false,13,-0.9568898015433946,2120.9999999999995,2708827
false,true,true,false,true,false,true,false,false,false,false,true,true,true,true,true,false,true,false,true,true,false,false,false,false,false,true,true,false,false,true,true,false,true,true,true,false,false,true,true,false,true,false,false,true,true,true,true,true,true,false,false,true,false,true,false,true,false,true,false,true,true,true,true,false,true,true,13,-0.9463309345607113,1696.9999999999993,2779868
false,true,true,true,true,false,true,true,false,false,false,true,false,true,false,false,true,true,true,true,false,true,false,false,false,false,true,false,false,true,true,true,false,true,true,true,false,false,true,false,true,false,false,false,true,true,true,true,true,true,false,false,true,false,false,false,true,false,true,false,true,true,true,false,false,true,true,13,-0.9447945876085134,1791.0,2851215
false,true,true,true,true,false,false,false,false,false,false,true,true,true,false,false,true,true,false,true,false,false,false,false,false,false,true,false,false,true,true,false,false,true,true,true,true,false,true,false,true,false,false,false,true,true,true,true,true,true,false,false,true,false,false,false,false,false,true,false,true,true,true,true,false,true,true,35,-0.869829167342173,4199.0,2922662
false,true,true,true,true,false,true,false,false,false,false,false,true,true,false,true,true,true,false,true,false,false,false,false,true,false,true,false,false,false,false,true,false,true,true,true,true,false,true,false,true,false,true,false,true,true,true,true,true,true,false,false,true,false,false,false,true,false,true,false,false,true,true,true,false,true,false,13,-0.9679253355368633,1841.9999999999995,2993163
true,true,true,true,true,false,true,false,false,true,true,false,true,true,false,true,false,true,true,true,true,false,false,true,false,false,true,true,false,true,true,true,false,true,true,true,false,false,false,false,true,false,false,false,true,false,false,true,true,true,false,true,false,false,false,false,true,true,true,false,false,true,true,true,false,true,false,13,-0.9493044325090446,1817.9999999999995,3064199
false,true,false,true,true,false,true,false,false,false,false,false,true,true,true,true,true,true,false,true,false,false,false,false,true,false,true,false,false,false,false,true,false,true,true,true,true,true,true,false,true,false,true,true,false,true,true,true,true,true,true,false,true,false,false,false,true,false,true,false,false,true,true,true,false,true,false,13,-0.9405052013976213,1831.9999999999995,3134423
false,true,true,true,true,false,true,false,false,false,false,false,false,true,false,true,true,true,false,true,true,false,false,false,true,false,true,true,false,false,false,true,false,true,true,true,true,false,true,false,true,false,false,false,true,true,true,true,true,false,false,false,false,false,false,true,true,false,true,false,false,true,true,true,false,false,false,13,-0.9517874328540364,1955.9999999999998,3204540
false,true,true,true,true,false,true,false,true,false,false,false,true,true,false,false,true,true,false,true,false,true,false,false,true,false,true,false,false,false,false,true,false,true,false,true,true,false,true,false,false,false,true,true,true,true,true,true,true,true,true,false,true,false,false,false,true,false,true,false,false,false,false,true,true,true,false,13,-0.9564207810280555,1821.0,3274592
false,true,true,true,true,false,true,false,false,false,false,true,true,true,false,false,true,true,false,false,true,false,false,false,false,true,true,false,false,true,true,true,false,true,true,true,true,false,false,false,true,false,false,true,true,true,true,true,true,true,false,false,false,true,false,false,false,false,true,false,true,true,true,true,false,true,true,13,-0.9507021475499188,1760.9999999999993,3345870
false,true,true,true,true,false,true,true,false,true,false,false,true,true,false,true,true,true,false,true,false,false,false,false,true,false,true,false,false,false,false,true,false,false,true,true,true,false,true,false,true,false,true,false,true,true,false,true,true,true,false,false,true,true,false,false,true,false,true,false,false,true,false,false,false,true,true,13,-0.9559665756060226,1800.0,3417043
true,true,true,true,true,false,true,true,true,false,true,true,true,true,false,false,false,true,true,true,false,true,false,false,false,false,true,true,false,true,true,true,false,false,true,true,false,false,true,false,true,false,false,false,true,false,false,true,false,true,true,true,true,false,false,true,true,false,true,false,true,false,true,true,false,true,false,13,-0.9460885298612703,1802.9999999999993,3489017
