s_winsize_std,s_winsize_mean,s_winsize_sum,s_winsize_med,d_winsize_mean,d_winsize_sum,d_winsize_std,d_winsize_med,d_ttl_sum,s_bytes_sum,s_bytes_std,s_bytes_mean,d_winsize_min,s_bytes_max,d_bytes_sum,d_bytes_mean,d_bytes_std,dur,d_winsize_max,d_iat_max,s_iat_sum,s_winsize_min,d_iat_sum,s_iat_max,d_load,d_ttl_mean,d_ttl_min,d_ttl_max,s_iat_std,d_ttl_med,s_iat_mean,s_load,s_winsize_max,d_iat_mean,d_bytes_max,syn_ack,d_iat_med,tcp_rtt,ack_cnt,d_bytes_med,s_port,d_iat_std,s_iat_med,s_ttl_sum,d_iat_min,d_port,d_pkt_cnt,s_pkt_cnt,psh_cnt,ack_dat,s_iat_min,s_bytes_med,s_ttl_max,s_ttl_min,d_bytes_min,s_ttl_med,s_ttl_mean,s_bytes_min,fin_cnt,rst_cnt,syn_cnt,d_ttl_std,cwr_cnt,proto,s_ttl_std,ece_cnt,pkt_depth,neg_f1_score,compute_cost,Timestamp
false,false,true,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,false,true,false,true,false,true,true,false,false,false,false,true,true,true,false,true,true,true,true,false,false,true,false,true,true,false,false,false,false,false,true,true,false,false,false,false,false,true,false,true,false,false,true,true,true,3,-0.9018852214086542,239.0,25223
true,false,true,false,true,true,false,false,true,true,false,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,false,false,true,true,false,true,false,true,true,false,true,true,false,false,true,false,true,false,false,false,false,true,false,false,true,false,false,false,false,7,-0.9554066732055186,381.0,51366
false,true,true,false,true,true,true,true,false,true,true,false,true,true,false,false,true,true,true,false,false,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,false,true,false,false,true,false,false,false,false,false,true,true,true,true,false,true,true,false,true,true,false,false,true,true,false,false,false,4,-0.9640587775137243,270.0,76468
true,true,true,true,true,false,true,false,true,true,false,true,true,false,true,true,false,true,true,true,true,true,true,true,true,false,true,false,false,true,false,true,true,false,false,true,true,false,true,true,false,true,false,true,false,true,true,true,false,true,false,true,false,true,false,false,true,true,false,true,false,false,false,false,false,false,8,-0.9243645287524381,472.0,102489
false,true,false,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,false,true,true,false,true,false,false,true,true,false,false,false,true,false,true,false,true,false,false,true,true,true,true,false,false,true,true,true,false,true,false,true,true,false,false,true,false,true,true,false,true,true,true,false,false,false,false,false,1,-0.899375627629173,61.0,126641
true,true,true,true,true,true,false,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,false,true,false,false,false,true,false,true,true,false,true,false,false,false,true,false,true,false,false,false,true,true,true,true,true,true,true,true,true,false,false,false,false,false,true,false,false,false,false,false,false,false,2,-0.9707000967326375,161.0,151045
false,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,true,true,true,false,true,false,false,false,true,true,true,true,true,false,true,true,true,true,true,false,false,true,false,true,true,false,true,false,false,true,true,true,true,false,3,-0.9189337229428244,270.0,176862
true,false,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true,true,false,true,false,true,true,true,true,true,false,true,false,true,true,true,true,false,false,false,true,false,true,true,false,false,false,false,false,true,false,false,false,true,false,true,false,true,true,false,false,true,true,false,false,false,true,false,false,false,5,-0.9264130844793962,371.0,202521
true,true,true,false,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,false,false,true,true,true,true,true,true,true,true,false,true,false,true,true,false,true,true,true,true,true,true,true,false,false,true,false,true,false,false,true,false,false,false,true,false,false,false,true,false,false,1,-0.8116461130299847,80.0,226834
true,true,false,false,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,false,false,true,true,false,false,false,false,true,false,false,true,false,true,true,false,true,false,false,false,false,true,false,true,true,false,false,false,false,false,true,true,false,false,1,-0.899375627629173,70.0,251152
true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,1,-0.899375627629173,70.0,280708
true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,1,-0.899375627629173,71.0,310007
true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,-0.7960531023770903,70.0,339534
false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,false,true,true,true,false,true,false,true,false,true,true,true,false,true,true,true,false,true,true,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,1,-0.7960531023770903,69.0,368906
true,false,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,false,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,1,-0.7960531023770903,61.0,398636
true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true,false,true,true,false,true,true,false,true,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,1,-0.7960531023770903,70.0,428233
true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,2,-0.8618197625365396,152.0,457999
