s_winsize_sum,s_winsize_med,s_winsize_mean,s_winsize_std,d_winsize_mean,d_winsize_sum,d_winsize_med,s_bytes_sum,s_bytes_max,d_winsize_std,s_bytes_std,d_bytes_sum,s_bytes_mean,d_bytes_mean,s_winsize_min,d_winsize_min,d_bytes_std,d_ttl_sum,d_winsize_max,dur,d_bytes_max,s_iat_sum,d_iat_max,s_winsize_max,s_iat_max,d_iat_sum,s_iat_mean,d_load,syn_ack,s_load,d_iat_mean,d_ttl_mean,s_iat_std,d_ttl_max,d_ttl_med,d_ttl_min,tcp_rtt,d_iat_med,s_iat_med,d_bytes_med,d_iat_std,s_ttl_sum,ack_cnt,d_iat_min,d_port,s_port,s_pkt_cnt,d_pkt_cnt,s_bytes_med,ack_dat,psh_cnt,s_iat_min,s_bytes_min,s_ttl_min,s_ttl_max,s_ttl_med,d_bytes_min,s_ttl_mean,syn_cnt,fin_cnt,rst_cnt,d_ttl_std,ece_cnt,cwr_cnt,proto,pkt_depth,neg_f1_score,compute_cost,Timestamp
true,true,true,true,false,true,true,false,false,false,false,true,true,true,true,true,true,false,false,false,false,false,false,false,true,false,false,true,true,true,false,false,false,true,false,true,false,false,true,false,false,false,false,false,true,false,false,false,false,true,true,true,true,true,true,true,true,true,false,false,false,true,true,false,false,2,-0.8572293467677163,376.0,60998
true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,false,false,true,true,false,true,true,true,true,false,true,true,true,true,true,false,false,true,true,true,true,true,true,false,true,true,true,false,true,false,false,false,true,false,false,true,false,false,false,false,false,false,49,-0.9217729266939452,6579.0,125761
true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,false,false,true,true,true,true,true,true,false,false,false,true,true,true,true,false,false,true,true,true,true,false,false,true,false,true,true,true,true,true,true,false,true,true,true,false,false,false,false,false,false,false,false,true,false,false,false,44,-0.9322714274854816,6935.0,189888
true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,false,false,true,true,true,false,true,false,true,true,false,true,false,true,true,true,false,true,true,true,true,false,false,true,false,true,false,true,false,false,false,false,false,false,36,-0.9295530594106193,5455.0,254103
true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true,false,true,true,false,false,true,false,false,false,true,true,true,false,false,true,false,true,false,true,false,true,true,false,true,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,13,-0.9313648657196248,1799.0,317860
true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,true,false,false,true,true,true,false,true,true,false,true,true,false,false,false,false,true,true,false,false,false,false,true,true,true,false,true,false,false,true,false,false,false,false,false,35,-0.8774020603360383,5363.0,382325
true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,false,true,true,true,true,true,false,false,false,true,true,true,true,false,true,false,true,true,true,false,true,true,true,true,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,1,-0.8734918639447093,116.0,442131
true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,false,true,true,false,true,false,true,true,true,true,true,true,true,false,false,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,8,-0.9424844679531309,1235.0,506248
true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,false,false,true,true,true,true,false,true,true,true,true,false,true,true,true,true,false,false,true,true,false,true,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,25,-0.9225480722393715,3715.0,570349
true,true,true,true,true,true,true,false,true,true,false,true,false,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true,false,true,true,false,true,true,false,true,true,false,true,false,true,false,false,true,false,false,false,false,false,false,false,false,false,35,-0.924425023457322,6211.0,635122
