s_winsize_sum,s_winsize_med,s_winsize_mean,s_winsize_std,d_winsize_mean,d_winsize_sum,d_winsize_med,s_bytes_sum,s_bytes_max,d_winsize_std,s_bytes_std,d_bytes_sum,s_bytes_mean,d_bytes_mean,s_winsize_min,d_winsize_min,d_bytes_std,d_ttl_sum,d_winsize_max,dur,d_bytes_max,s_iat_sum,d_iat_max,s_winsize_max,s_iat_max,d_iat_sum,s_iat_mean,d_load,syn_ack,s_load,d_iat_mean,d_ttl_mean,s_iat_std,d_ttl_max,d_ttl_med,d_ttl_min,tcp_rtt,d_iat_med,s_iat_med,d_bytes_med,d_iat_std,s_ttl_sum,ack_cnt,d_iat_min,d_port,s_port,s_pkt_cnt,d_pkt_cnt,s_bytes_med,ack_dat,psh_cnt,s_iat_min,s_bytes_min,s_ttl_min,s_ttl_max,s_ttl_med,d_bytes_min,s_ttl_mean,syn_cnt,fin_cnt,rst_cnt,d_ttl_std,ece_cnt,cwr_cnt,proto,pkt_depth,neg_f1_score,compute_cost,Timestamp
true,false,true,false,true,false,true,false,false,true,true,true,false,false,true,false,false,false,false,false,false,false,false,true,false,false,true,true,true,false,true,true,true,false,false,false,false,true,true,false,false,false,false,false,false,false,true,true,false,false,false,false,true,false,false,false,false,false,false,false,true,true,true,false,false,79663,-0.904288937064604,16447.0,450308
true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,false,false,false,true,true,false,true,true,false,true,true,true,false,true,true,true,false,false,false,false,false,true,true,false,false,false,true,false,false,false,false,true,false,false,false,false,203193,-0.9045983098377249,19983.0,598186
true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,false,false,true,true,true,true,false,true,false,false,false,false,false,true,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,2635,-0.9132017908853587,19247.0,745325
true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true,false,true,true,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,56714,-0.8893270595214319,21071.0,894057
true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true,false,true,false,true,true,false,true,true,true,true,false,true,true,true,false,true,true,false,true,true,true,false,true,false,false,true,false,true,false,false,false,false,false,true,false,true,false,false,false,false,false,30363,-0.9180190424210914,18431.0,1043137
true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,false,false,false,true,true,true,false,true,false,true,true,true,true,true,true,true,true,true,false,false,true,false,false,true,true,false,true,false,false,false,true,false,true,false,false,false,false,false,false,false,36467,-0.8851442202763504,22831.0,1191378
true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,false,true,true,true,true,false,false,true,false,true,false,true,true,true,true,false,true,true,true,true,true,false,false,true,true,false,false,true,true,true,false,false,false,true,true,false,false,false,false,false,false,false,false,false,12408,-0.9095800413484473,22831.0,1338350
true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,false,true,true,false,true,false,true,true,false,false,false,true,true,true,false,true,false,false,false,false,true,true,true,false,false,false,false,true,false,true,false,false,false,false,false,false,361679,-0.9163585540611382,14991.0,1484895
true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,false,true,true,true,true,true,true,true,false,false,true,true,false,false,false,true,false,false,false,true,false,false,false,true,true,false,false,false,false,false,196735,-0.9304502086083593,21583.0,1632267
true,true,true,true,true,true,true,true,false,true,false,true,false,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,false,false,true,false,false,false,true,true,false,false,true,true,true,false,true,false,true,false,true,true,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,206466,-0.9172030518299581,18943.0,1779433
