s_winsize_sum,s_winsize_med,s_winsize_mean,s_winsize_std,d_winsize_mean,d_winsize_sum,d_winsize_med,s_bytes_sum,s_bytes_max,d_winsize_std,s_bytes_std,d_bytes_sum,s_bytes_mean,d_bytes_mean,s_winsize_min,d_winsize_min,d_bytes_std,d_ttl_sum,d_winsize_max,dur,d_bytes_max,s_iat_sum,d_iat_max,s_winsize_max,s_iat_max,d_iat_sum,s_iat_mean,d_load,syn_ack,s_load,d_iat_mean,d_ttl_mean,s_iat_std,d_ttl_max,d_ttl_med,d_ttl_min,tcp_rtt,d_iat_med,s_iat_med,d_bytes_med,d_iat_std,s_ttl_sum,ack_cnt,d_iat_min,d_port,s_port,s_pkt_cnt,d_pkt_cnt,s_bytes_med,ack_dat,psh_cnt,s_iat_min,s_bytes_min,s_ttl_min,s_ttl_max,s_ttl_med,d_bytes_min,s_ttl_mean,syn_cnt,fin_cnt,rst_cnt,d_ttl_std,ece_cnt,cwr_cnt,proto,pkt_depth,neg_f1_score,compute_cost,Timestamp,source_experiment
True,False,True,True,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,True,True,False,False,False,True,True,False,True,False,335301.0,-0.9209532711605367,16991.0,0,/home/nafi/CATO/morbo_copy/dataset_comparision/packet_depth_all/improved/max374325_init10_iter490_damp1.0_2026-06-28-00-16-37
False,True,False,False,True,True,True,True,True,False,True,True,False,False,True,True,True,False,True,True,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,True,True,False,True,False,True,False,True,True,True,False,False,True,True,True,False,False,True,False,True,27149.0,-0.8885898710577445,18367.0,0,/home/nafi/CATO/morbo_copy/dataset_comparision/packet_depth_all/improved/max374325_init10_iter490_damp1.0_2026-06-28-00-16-37
False,False,True,True,True,True,False,True,True,False,True,True,True,True,True,False,True,True,True,False,True,True,False,True,False,False,True,False,True,True,True,True,True,False,False,False,True,True,False,True,False,False,True,False,True,False,False,True,True,False,False,True,True,False,False,False,True,True,True,True,True,False,True,False,True,157253.0,-0.9182347926003952,16095.0,0,/home/nafi/CATO/morbo_copy/dataset_comparision/packet_depth_all/improved/max374325_init10_iter490_damp1.0_2026-06-28-00-16-37
True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,True,False,True,False,False,False,False,False,True,True,True,False,False,True,False,True,True,False,True,False,True,True,False,False,True,True,False,False,True,True,True,False,False,False,False,False,True,False,True,False,228591.0,-0.915169709891157,17455.0,0,/home/nafi/CATO/morbo_copy/dataset_comparision/packet_depth_all/improved/max374325_init10_iter490_damp1.0_2026-06-28-00-16-37
True,False,False,False,False,False,False,True,True,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,True,True,True,False,True,True,False,True,False,False,False,False,True,True,False,False,True,True,True,True,True,True,False,60295.0,-0.904434180524351,11687.0,0,/home/nafi/CATO/morbo_copy/dataset_comparision/packet_depth_all/improved/max374325_init10_iter490_damp1.0_2026-06-28-00-16-37
False,True,True,True,True,True,True,False,False,True,False,True,False,True,True,False,True,True,False,True,False,True,True,True,False,True,False,True,False,True,False,False,True,True,True,True,True,True,True,True,False,True,False,False,False,True,False,False,True,False,True,True,True,True,False,False,True,True,False,False,False,False,False,False,True,325903.0,-0.9301239873048325,21871.0,0,/home/nafi/CATO/morbo_copy/dataset_comparision/packet_depth_all/improved/max374325_init10_iter490_damp1.0_2026-06-28-00-16-37
False,False,False,False,True,True,False,False,False,True,False,True,True,False,True,True,True,False,False,False,True,True,False,False,True,True,True,True,True,True,True,True,False,True,True,True,False,False,False,False,True,True,True,True,False,False,True,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,245605.0,-0.9051095930424937,13031.0,0,/home/nafi/CATO/morbo_copy/dataset_comparision/packet_depth_all/improved/max374325_init10_iter490_damp1.0_2026-06-28-00-16-37
True,True,True,True,False,False,True,True,True,False,True,False,False,True,False,False,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,True,False,False,False,False,True,True,False,False,False,True,True,True,False,True,False,True,True,False,True,True,False,True,True,True,False,117199.0,-0.9363818705364048,21727.0,0,/home/nafi/CATO/morbo_copy/dataset_comparision/packet_depth_all/improved/max374325_init10_iter490_damp1.0_2026-06-28-00-16-37
True,False,False,True,True,False,False,True,True,True,True,False,False,False,True,True,True,False,True,False,True,True,False,False,False,True,False,True,False,True,True,False,True,False,False,True,True,False,False,False,True,True,False,False,False,False,False,True,False,True,True,True,False,True,True,True,True,True,False,False,False,True,False,False,True,206743.0,-0.9153701153720545,15767.0,0,/home/nafi/CATO/morbo_copy/dataset_comparision/packet_depth_all/improved/max374325_init10_iter490_damp1.0_2026-06-28-00-16-37
False,True,True,False,False,True,True,False,False,False,False,True,True,True,False,False,False,True,False,True,False,False,True,True,True,False,True,False,True,False,False,True,False,True,True,False,False,True,True,True,False,False,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,False,True,True,True,False,True,True,False,179457.0,-0.8951980317719439,21391.0,0,/home/nafi/CATO/morbo_copy/dataset_comparision/packet_depth_all/improved/max374325_init10_iter490_damp1.0_2026-06-28-00-16-37
False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,True,True,False,False,True,True,False,False,False,False,True,False,True,True,False,False,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True,True,False,True,False,60296.0,-0.8986341374012835,13239.0,0,/home/nafi/CATO/morbo_copy/dataset_comparision/packet_depth_all/improved/max374325_init10_iter490_damp1.0_2026-06-28-00-16-37
False,True,True,False,False,False,False,True,False,True,True,True,False,True,False,True,True,False,True,True,False,True,True,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,True,True,False,True,False,False,False,True,False,True,True,True,True,False,False,True,False,True,True,False,False,True,False,False,117198.0,-0.9307062851221942,16135.0,0,/home/nafi/CATO/morbo_copy/dataset_comparision/packet_depth_all/improved/max374325_init10_iter490_damp1.0_2026-06-28-00-16-37
True,True,False,True,False,False,True,True,False,True,False,False,True,True,False,True,True,True,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,False,False,True,True,False,False,True,True,True,True,False,False,True,True,True,True,True,False,60295.0,-0.9343290371834322,15559.0,0,/home/nafi/CATO/morbo_copy/dataset_comparision/packet_depth_all/improved/max374325_init10_iter490_damp1.0_2026-06-28-00-16-37
True,False,False,True,False,False,False,True,True,False,False,False,True,True,False,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,True,True,True,False,True,True,False,True,False,False,False,False,True,True,False,False,True,True,True,True,True,True,False,60295.0,-0.8788050196485829,13159.0,0,/home/nafi/CATO/morbo_copy/dataset_comparision/packet_depth_all/improved/max374325_init10_iter490_damp1.0_2026-06-28-00-16-37
True,False,False,True,True,True,False,True,True,False,False,False,True,False,True,False,False,False,False,True,True,False,True,False,True,True,False,False,True,False,True,True,False,False,False,True,False,False,True,True,False,True,True,True,True,False,False,False,True,True,False,False,True,True,False,True,True,False,True,True,False,False,True,True,False,60294.0,-0.8540132382333904,16103.0,0,/home/nafi/CATO/morbo_copy/dataset_comparision/packet_depth_all/improved/max374325_init10_iter490_damp1.0_2026-06-28-00-16-37
True,True,False,False,False,True,False,True,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,True,True,True,False,False,True,False,True,False,False,False,False,True,True,False,True,False,True,True,True,False,False,False,60296.0,-0.9323364715732794,13631.0,0,/home/nafi/CATO/morbo_copy/dataset_comparision/packet_depth_all/improved/max374325_init10_iter490_damp1.0_2026-06-28-00-16-37
True,True,True,False,True,False,False,False,True,False,True,False,False,False,True,True,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,True,False,False,False,True,True,False,False,True,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,True,True,True,True,True,True,False,False,True,60297.0,-0.9258337119197068,16639.0,0,/home/nafi/CATO/morbo_copy/dataset_comparision/packet_depth_all/improved/max374325_init10_iter490_damp1.0_2026-06-28-00-16-37
True,False,False,False,True,False,False,True,False,False,False,False,False,True,True,True,True,False,False,True,False,False,True,True,False,False,True,False,True,False,True,False,False,False,True,True,True,False,False,True,False,False,True,False,True,False,True,True,False,True,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,60294.0,-0.9242723566297697,9935.0,0,/home/nafi/CATO/morbo_copy/dataset_comparision/packet_depth_all/improved/max374325_init10_iter490_damp1.0_2026-06-28-00-16-37
True,False,False,False,False,True,False,True,False,True,False,False,False,True,True,True,True,True,True,True,False,True,True,True,False,False,True,False,True,False,True,False,False,False,True,True,False,False,False,True,True,False,True,False,True,False,True,True,True,True,True,True,False,False,False,True,False,True,False,False,False,True,True,True,True,60294.0,-0.8969331561048127,15511.0,0,/home/nafi/CATO/morbo_copy/dataset_comparision/packet_depth_all/improved/max374325_init10_iter490_damp1.0_2026-06-28-00-16-37
True,False,False,False,True,False,False,True,False,False,False,False,False,True,True,True,True,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True,True,True,False,False,True,False,False,True,False,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,60294.0,-0.9022779642877836,9599.0,0,/home/nafi/CATO/morbo_copy/dataset_comparision/packet_depth_all/improved/max374325_init10_iter490_damp1.0_2026-06-28-00-16-37
True,False,False,False,True,False,False,True,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,True,True,False,False,True,True,False,True,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,60294.0,-0.8623563997303749,12991.0,0,/home/nafi/CATO/morbo_copy/dataset_comparision/packet_depth_all/improved/max374325_init10_iter490_damp1.0_2026-06-28-00-16-37
True,False,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,True,True,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,60293.0,-0.8997829681556079,12183.0,0,/home/nafi/CATO/morbo_copy/dataset_comparision/packet_depth_all/improved/max374325_init10_iter490_damp1.0_2026-06-28-00-16-37
True,False,False,False,True,False,False,True,False,False,False,False,False,True,True,True,True,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,True,True,True,True,False,False,True,False,False,True,True,True,False,True,True,False,True,True,True,False,True,False,False,False,False,False,True,False,False,True,False,False,60293.0,-0.9288514755936338,9839.0,0,/home/nafi/CATO/morbo_copy/dataset_comparision/packet_depth_all/improved/max374325_init10_iter490_damp1.0_2026-06-28-00-16-37
True,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True,True,True,False,False,True,False,False,True,False,True,True,True,True,False,False,True,True,True,False,False,False,False,False,False,True,False,False,True,False,False,60295.0,-0.8764582677252142,11287.0,0,/home/nafi/CATO/morbo_copy/dataset_comparision/packet_depth_all/improved/max374325_init10_iter490_damp1.0_2026-06-28-00-16-37
True,False,False,False,True,False,False,True,False,False,False,False,False,True,True,True,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,False,True,True,True,True,False,False,True,False,False,False,True,True,True,True,True,False,True,True,True,False,False,False,True,False,False,False,True,False,False,True,False,False,60292.0,-0.866000704423887,11127.0,0,/home/nafi/CATO/morbo_copy/dataset_comparision/packet_depth_all/improved/max374325_init10_iter490_damp1.0_2026-06-28-00-16-37
True,False,False,False,True,False,False,True,False,False,True,False,False,True,True,True,False,False,True,True,False,True,False,True,False,False,True,False,True,False,True,True,False,False,False,True,True,False,False,True,False,False,True,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,60294.0,-0.9068323727659718,10023.0,0,/home/nafi/CATO/morbo_copy/dataset_comparision/packet_depth_all/improved/max374325_init10_iter490_damp1.0_2026-06-28-00-16-37
True,False,False,False,True,False,False,True,False,False,False,False,False,True,True,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,True,True,True,True,False,True,True,True,False,False,True,False,False,False,False,True,False,False,True,False,False,60293.0,-0.8585056782963816,10255.0,0,/home/nafi/CATO/morbo_copy/dataset_comparision/packet_depth_all/improved/max374325_init10_iter490_damp1.0_2026-06-28-00-16-37
