s_winsize_sum,s_winsize_med,s_winsize_mean,s_winsize_std,d_winsize_mean,d_winsize_sum,d_winsize_med,s_bytes_sum,s_bytes_max,d_winsize_std,s_bytes_std,d_bytes_sum,s_bytes_mean,d_bytes_mean,s_winsize_min,d_winsize_min,d_bytes_std,d_ttl_sum,d_winsize_max,dur,d_bytes_max,s_iat_sum,d_iat_max,s_winsize_max,s_iat_max,d_iat_sum,s_iat_mean,d_load,syn_ack,s_load,d_iat_mean,d_ttl_mean,s_iat_std,d_ttl_max,d_ttl_med,d_ttl_min,tcp_rtt,d_iat_med,s_iat_med,d_bytes_med,d_iat_std,s_ttl_sum,ack_cnt,d_iat_min,d_port,s_port,s_pkt_cnt,d_pkt_cnt,s_bytes_med,ack_dat,psh_cnt,s_iat_min,s_bytes_min,s_ttl_min,s_ttl_max,s_ttl_med,d_bytes_min,s_ttl_mean,syn_cnt,fin_cnt,rst_cnt,d_ttl_std,ece_cnt,cwr_cnt,proto,pkt_depth,neg_f1_score,compute_cost,Timestamp
true,true,false,true,true,false,true,true,false,true,false,true,true,false,false,false,true,true,true,true,false,false,false,false,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,false,false,true,true,true,true,true,true,true,false,false,true,false,true,false,false,true,true,true,true,true,false,true,true,false,true,2,-0.8780127187599466,367.0,63681
true,true,false,true,true,true,false,false,true,true,true,true,true,false,false,true,true,true,true,true,false,false,false,true,true,false,true,true,true,true,true,false,false,true,false,false,true,false,false,true,true,false,false,false,true,false,false,false,true,true,true,false,false,false,true,true,false,true,true,true,false,false,false,false,true,5,-0.9215170284785467,763.0,127500
false,false,false,true,false,true,false,true,false,true,false,true,false,false,true,true,true,false,true,true,true,true,false,true,true,false,true,true,false,true,true,false,true,false,false,true,true,false,true,false,false,false,true,true,false,false,true,true,false,true,true,false,true,true,true,false,true,false,false,false,true,true,true,true,true,18,-0.9189171830922614,2227.0,192605
false,false,false,false,false,false,false,true,true,false,false,false,true,true,true,false,false,true,false,true,false,false,false,false,true,false,false,false,true,false,false,true,true,true,false,false,true,true,true,false,true,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,false,false,true,true,true,false,true,false,false,10,-0.8978121560690354,1023.0,258266
true,true,false,true,true,true,true,true,false,true,true,true,false,false,false,true,true,true,false,false,true,true,true,false,false,true,false,false,false,true,false,false,true,true,true,false,false,false,false,false,false,false,false,false,true,false,false,false,true,true,true,false,true,false,true,false,true,false,false,true,true,false,true,true,true,3,-0.9075576043972065,597.0,320887
false,true,false,false,true,true,false,false,true,false,false,false,false,false,false,false,false,true,false,false,true,true,true,true,false,true,true,true,false,false,true,true,true,false,true,false,true,true,true,true,false,false,false,false,false,false,false,true,false,false,true,false,false,true,false,false,true,false,true,true,false,false,true,false,true,16,-0.9302376992884983,2155.0,385624
false,false,false,true,true,true,false,true,false,true,false,false,false,false,false,false,true,true,false,true,false,true,false,true,true,true,true,false,true,false,false,false,true,true,false,true,false,false,false,false,false,false,false,false,false,true,false,true,false,true,false,false,false,false,false,false,true,false,true,false,true,true,true,true,false,3,-0.923624122401397,477.0,448584
false,false,false,false,false,true,true,true,false,true,true,false,false,false,false,false,false,true,false,false,true,false,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,true,true,true,false,false,true,false,false,true,false,true,false,false,false,false,true,true,false,true,true,true,true,true,false,false,9,-0.8891996557455589,1114.0,513284
true,false,true,true,false,true,true,false,false,true,false,true,false,true,true,false,false,false,true,false,true,false,false,false,true,false,true,true,false,true,true,false,false,true,true,true,true,false,false,true,true,false,true,true,false,false,true,false,true,true,false,true,true,false,false,true,true,false,true,true,true,true,true,false,false,4,-0.8709135608766928,651.0,576914
true,true,true,false,true,true,false,true,true,true,false,false,true,true,true,true,false,true,false,false,true,false,true,true,true,false,false,true,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,true,false,false,true,true,true,false,true,true,false,false,true,false,true,true,true,true,false,true,false,true,false,34,-0.8868360311251104,3669.0,640840
true,true,true,true,false,true,true,true,true,true,true,true,true,false,false,true,true,false,true,true,true,true,false,false,false,false,true,true,true,true,true,false,false,true,true,false,true,false,true,true,false,false,false,true,true,true,true,true,false,true,true,true,true,false,false,false,false,false,false,false,false,true,false,false,true,11,-0.8629501850474507,1564.0,709656
false,false,false,false,true,true,true,true,true,true,false,false,true,true,true,false,true,true,true,true,true,false,false,true,false,true,true,true,false,true,false,true,false,true,true,true,true,true,false,false,false,true,false,true,false,false,true,true,true,false,false,false,true,false,true,true,false,false,true,true,true,true,false,false,false,1,-0.5557775018082439,121.0,774549
false,true,false,true,true,false,false,false,true,false,true,false,true,false,false,false,true,true,true,false,false,true,true,true,false,true,true,true,false,false,false,false,true,true,false,true,true,true,false,false,true,true,false,false,false,true,false,true,true,false,false,false,false,false,true,false,false,true,true,true,false,true,false,true,false,2,-0.9063528918263736,351.0,842693
false,true,true,false,true,true,false,true,true,false,false,true,true,true,false,false,false,false,false,true,true,true,true,true,false,true,false,true,true,false,true,false,true,true,false,true,true,true,false,false,false,true,false,false,true,true,false,true,false,false,true,false,false,true,true,true,false,false,false,true,true,false,false,false,false,2,-0.8785773166818005,253.0,909872
false,true,true,true,true,true,false,true,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,true,false,true,false,true,false,true,true,false,false,false,true,false,true,true,true,true,true,true,false,true,true,true,true,false,true,false,false,false,true,true,false,false,false,false,false,true,false,true,true,false,false,1,-0.8734918639447093,116.0,975996
true,true,false,true,false,true,false,false,true,true,false,true,false,false,true,false,false,false,false,true,false,false,true,false,true,true,true,false,true,false,false,false,false,false,false,false,true,true,false,false,false,false,true,true,false,false,false,true,true,false,false,true,false,false,true,true,false,false,false,true,false,false,true,true,false,1,-0.5557775018082439,125.0,1040979
false,false,false,true,false,false,false,true,true,false,true,true,true,true,true,false,true,false,false,false,false,true,false,false,true,true,true,false,false,true,true,true,false,false,false,false,true,true,true,false,false,true,true,false,false,false,false,false,false,false,true,false,false,true,true,true,true,true,true,false,true,false,true,false,true,1,-0.5557775018082439,144.0,1106990
false,false,true,true,true,true,true,false,true,true,true,true,true,true,false,false,true,true,false,true,false,true,true,false,true,true,true,false,false,false,true,true,false,false,true,true,false,true,true,true,false,true,true,false,true,false,false,false,false,false,false,false,false,false,true,true,false,true,true,true,false,false,true,true,false,1,-0.8250605616479761,156.0,1172892
false,true,false,false,false,true,true,true,false,true,false,true,true,false,true,false,true,true,false,false,true,true,true,true,false,true,true,false,false,false,false,false,true,false,false,false,true,false,true,true,true,false,true,true,true,true,false,false,true,true,false,false,false,true,true,false,true,false,true,false,true,true,true,true,true,3,-0.9112893319164149,594.0,1239851
true,true,false,true,true,false,false,true,true,true,false,true,true,false,false,false,true,true,true,true,false,false,false,true,true,true,false,true,true,true,true,false,false,true,true,true,true,false,true,false,false,false,true,true,true,false,true,true,false,false,true,false,true,false,false,true,false,false,true,true,false,true,true,false,true,2,-0.8562104078398256,371.0,1307389
false,true,false,true,true,true,false,false,false,false,false,true,false,false,true,false,false,true,false,false,false,true,false,true,false,true,true,false,false,false,false,false,false,false,false,false,true,true,false,true,false,false,true,true,false,true,false,true,false,true,false,false,false,false,false,true,true,false,false,false,true,false,true,true,false,5,-0.9040148976484398,583.0,1375567
false,true,false,false,true,true,false,false,false,false,false,false,false,true,true,false,true,false,false,true,true,true,false,true,false,true,true,false,false,false,true,true,true,false,false,true,true,false,false,false,false,false,true,true,true,true,true,true,false,true,false,true,true,true,false,false,false,false,false,false,false,false,false,true,true,1,-0.8734918639447093,97.0,1442625
false,true,false,true,true,true,false,false,true,true,true,false,false,true,true,false,true,false,false,true,true,true,true,false,false,true,false,true,false,false,true,true,false,true,false,true,true,false,true,false,false,false,false,true,true,false,false,false,true,false,true,true,true,false,false,false,false,false,true,true,false,false,false,false,false,1,-0.8184482311811985,136.0,1509230
false,true,false,false,false,true,false,true,false,false,false,true,true,false,true,false,true,false,true,false,false,true,false,false,false,false,false,true,true,true,true,false,true,false,true,false,true,true,false,true,false,false,true,false,false,true,false,false,false,true,false,true,false,false,false,true,false,false,false,true,true,false,false,true,false,1,-0.7985027289542492,102.0,1576012
false,true,false,true,false,false,false,false,true,false,false,true,true,true,true,false,true,true,true,true,true,true,true,true,false,false,true,false,false,false,true,true,false,false,false,true,true,true,false,true,false,false,true,false,true,true,false,true,true,true,true,true,true,true,true,false,false,false,false,true,false,true,false,true,true,1,-0.8734918639447093,130.0,1643186
true,true,false,true,true,true,false,false,false,true,true,false,true,true,false,true,true,true,true,true,false,false,false,true,true,false,true,true,true,true,true,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,false,true,true,false,false,true,true,false,false,false,false,true,5,-0.9246640168715803,762.0,1711935
false,false,false,false,false,true,false,true,false,false,false,false,false,false,true,false,true,true,true,false,true,false,true,true,false,false,false,true,true,false,false,false,true,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,false,true,false,true,true,true,true,false,true,false,true,true,false,true,true,true,1,-0.8734918639447093,131.0,1778822
true,true,false,true,true,false,true,false,true,false,false,true,true,false,false,true,true,true,true,false,false,false,false,false,false,true,false,false,false,false,true,false,true,false,true,true,false,true,false,false,true,false,false,false,false,false,true,true,false,false,false,true,true,false,true,true,true,true,false,true,false,false,true,true,false,1,-0.5557775018082439,123.0,1844863
false,true,false,true,false,true,false,false,true,false,true,true,true,true,false,false,true,true,false,true,false,true,true,true,false,false,true,true,true,false,true,false,false,true,false,false,false,true,false,true,false,true,true,false,false,false,false,true,true,true,true,false,false,false,false,false,false,false,true,true,false,false,false,false,true,19,-0.9249745141807407,2569.0,1915265
false,false,false,true,true,true,false,false,true,false,true,false,true,false,false,false,true,true,true,false,false,false,true,true,false,true,true,true,false,false,false,false,true,true,false,true,true,true,false,false,true,true,false,false,true,false,false,true,true,false,true,false,false,false,true,false,false,true,true,true,false,true,false,false,true,11,-0.9087871507006114,1514.0,1986096
false,true,false,true,false,true,true,false,true,false,false,true,true,true,true,false,false,true,true,false,true,true,true,true,false,true,true,true,false,false,true,true,false,false,false,true,true,true,false,true,false,false,true,false,true,true,false,true,true,false,true,false,true,true,false,false,false,false,false,true,false,true,false,true,true,2,-0.9044382672381657,360.0,2053442
false,true,false,true,false,false,true,false,true,false,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,false,true,false,true,true,true,false,true,true,true,true,false,true,false,false,true,false,false,false,false,true,true,true,false,false,true,true,false,false,false,false,false,false,false,false,true,true,true,5,-0.8988549772608574,785.0,2122300
false,true,false,false,true,true,false,false,false,false,false,true,false,false,false,true,false,true,false,true,false,true,false,true,false,true,true,true,false,true,true,false,false,false,false,false,true,true,false,true,false,false,true,true,false,false,false,true,false,false,false,false,false,false,false,true,true,false,true,false,true,false,true,false,true,7,-0.9386770685391274,749.0,2190991
