eval_count,tr_idx,cont_length,disc_length,num_points,n_successes,n_failures,restarted_this_step
11,0,0.8,32,10,1,0,False
11,1,0.8,32,9,0,0,False
12,0,0.8,32,11,0,1,False
12,1,0.8,32,10,0,0,False
13,0,0.8,32,12,0,1,False
13,1,0.8,32,11,1,0,False
14,0,0.8,32,13,0,1,False
14,1,0.8,32,12,2,0,False
15,0,0.8,32,14,0,1,False
15,1,0.8,32,13,0,1,False
16,0,0.8,32,15,0,2,False
16,1,0.8,32,14,0,1,False
17,0,0.8,32,16,0,2,False
17,1,0.8,32,15,0,2,False
18,0,0.8,32,17,0,3,False
18,1,0.8,32,16,0,2,False
19,0,0.8,32,18,1,0,False
19,1,0.8,32,17,0,2,False
20,0,0.8,32,19,0,1,False
20,1,0.8,32,18,0,2,False
21,0,0.8,32,20,0,2,False
21,1,0.8,32,19,0,2,False
22,0,0.8,32,21,0,2,False
22,1,0.8,32,20,0,3,False
23,0,0.8,32,22,1,0,False
23,1,0.8,32,21,0,3,False
24,0,0.8,32,23,0,1,False
24,1,0.8,32,22,0,3,False
25,0,0.8,32,24,0,1,False
25,1,0.8,32,23,1,0,False
26,0,0.8,32,25,0,2,False
26,1,0.8,32,24,1,0,False
27,0,0.8,32,26,0,3,False
27,1,0.8,32,25,1,0,False
28,0,0.8,32,27,0,3,False
28,1,0.8,32,26,0,1,False
29,0,0.8,32,28,0,3,False
29,1,0.8,32,27,0,2,False
30,0,0.8,32,29,0,3,False
30,1,0.8,32,28,0,3,False
31,0,0.8,32,30,0,3,False
31,1,0.8,32,29,1,0,False
32,0,0.8,32,31,0,3,False
32,1,0.8,32,30,0,1,False
33,0,0.8,32,32,0,3,False
33,1,0.8,32,31,0,2,False
34,0,0.8,32,33,0,4,False
34,1,0.8,32,32,0,2,False
35,0,0.8,32,34,0,4,False
35,1,0.8,32,33,0,3,False
36,0,0.8,32,35,0,4,False
36,1,0.8,32,34,0,4,False
37,0,0.8,32,36,0,4,False
37,1,0.8,32,35,0,5,False
38,0,0.8,32,37,0,5,False
38,1,0.8,32,36,0,5,False
39,0,0.8,32,38,1,0,False
39,1,0.8,32,37,0,5,False
40,0,0.8,32,39,0,1,False
40,1,0.8,32,38,0,5,False
41,0,0.8,32,40,0,2,False
41,1,0.8,32,39,0,5,False
42,0,0.8,32,41,1,0,False
42,1,0.8,32,40,0,5,False
43,0,0.8,32,42,1,0,False
43,1,0.8,32,41,0,6,False
44,0,0.8,32,43,0,1,False
44,1,0.8,32,42,0,6,False
45,0,0.8,32,44,0,1,False
45,1,0.8,32,43,0,7,False
46,0,0.8,32,45,0,2,False
46,1,0.8,32,44,0,7,False
47,0,0.8,32,46,0,2,False
47,1,0.8,32,45,0,8,False
48,0,0.8,32,47,0,3,False
48,1,0.8,32,46,0,8,False
49,0,0.8,32,48,0,3,False
49,1,0.8,32,47,0,9,False
