s_winsize_sum,s_winsize_med,s_winsize_mean,s_winsize_std,d_winsize_mean,d_winsize_sum,d_winsize_med,s_bytes_sum,s_bytes_max,d_winsize_std,s_bytes_std,d_bytes_sum,s_bytes_mean,d_bytes_mean,s_winsize_min,d_winsize_min,d_bytes_std,d_ttl_sum,d_winsize_max,dur,d_bytes_max,s_iat_sum,d_iat_max,s_winsize_max,s_iat_max,d_iat_sum,s_iat_mean,d_load,syn_ack,s_load,d_iat_mean,d_ttl_mean,s_iat_std,d_ttl_max,d_ttl_med,d_ttl_min,tcp_rtt,d_iat_med,s_iat_med,d_bytes_med,d_iat_std,s_ttl_sum,ack_cnt,d_iat_min,d_port,s_port,s_pkt_cnt,d_pkt_cnt,s_bytes_med,ack_dat,psh_cnt,s_iat_min,s_bytes_min,s_ttl_min,s_ttl_max,s_ttl_med,d_bytes_min,s_ttl_mean,syn_cnt,fin_cnt,rst_cnt,d_ttl_std,ece_cnt,cwr_cnt,proto,pkt_depth,neg_f1_score,compute_cost,Timestamp
false,false,false,false,true,false,false,false,false,true,false,false,true,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,false,false,false,false,true,true,true,true,false,true,true,true,false,true,true,true,false,true,true,true,true,false,false,false,false,true,false,true,true,false,false,false,false,true,false,false,true,11,-0.9056816578025833,1639.0,64363
true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,true,true,true,false,true,false,true,false,true,false,true,false,true,true,true,false,true,true,true,true,true,false,false,true,false,false,true,true,false,false,false,true,true,false,false,true,false,true,false,false,false,true,false,false,true,13,-0.9247066079272592,1844.0,129820
false,true,true,false,false,true,true,true,false,true,false,false,true,true,true,true,false,false,true,false,true,false,true,true,true,false,false,false,true,true,false,false,false,true,false,true,true,false,true,true,true,false,true,true,true,true,true,false,true,false,true,false,false,false,true,true,true,true,true,false,true,true,true,false,false,1,-0.8734918639447093,208.0,192383
true,true,true,false,true,true,false,true,false,true,false,false,true,true,false,false,true,false,false,true,false,false,true,false,false,true,true,true,true,false,true,false,false,true,false,false,true,true,true,true,true,false,true,false,true,true,false,true,false,false,true,true,true,false,false,false,false,true,false,false,false,false,true,false,false,2,-0.8808602065295358,214.0,255228
true,true,true,false,false,false,true,true,true,false,false,false,false,false,false,false,false,true,false,false,true,true,true,true,false,false,true,false,true,true,true,false,false,true,false,true,true,true,false,false,true,true,false,false,false,true,false,false,false,true,false,false,false,false,false,false,true,true,false,true,true,false,false,true,false,7,-0.9115906009368521,670.0,319327
true,true,false,true,false,true,false,true,false,false,false,false,true,true,false,true,false,false,false,false,false,true,false,true,true,true,true,true,true,true,false,false,true,false,false,true,true,true,false,false,true,true,false,true,false,false,false,true,true,false,false,true,true,false,false,false,false,false,true,true,false,true,true,true,true,10,-0.9346577989575626,1239.0,384610
true,false,false,true,true,false,true,false,true,false,false,true,false,true,true,false,true,false,true,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,true,true,true,true,true,false,false,false,true,true,true,false,false,true,false,false,false,false,false,false,true,false,true,true,true,true,false,true,true,false,4,-0.9389265955135412,675.0,447374
false,false,false,true,false,true,true,false,true,false,false,true,true,false,true,true,false,false,true,false,false,true,true,false,true,true,true,true,false,true,true,false,true,false,false,true,false,true,false,true,false,true,false,true,true,true,true,false,false,true,false,true,true,true,true,true,true,false,true,false,false,true,false,false,false,9,-0.9200544770634849,1376.0,512689
false,true,false,true,false,false,true,true,false,true,true,false,false,true,true,true,true,false,false,false,true,true,false,false,true,false,false,true,true,true,false,false,false,true,true,false,false,true,true,false,false,true,false,false,false,false,false,false,true,false,false,false,false,true,false,false,true,false,true,false,true,false,false,true,false,6,-0.9076997346735611,850.0,577609
true,true,false,true,false,false,false,true,false,false,true,true,false,false,false,true,false,false,true,true,false,true,true,true,false,true,false,true,false,true,true,true,true,false,false,false,false,true,true,true,true,false,false,true,false,true,false,true,true,false,true,false,false,false,true,false,true,true,false,true,true,false,true,true,true,15,-0.946497435560054,2149.0,642558
