s_winsize_sum,s_winsize_med,s_winsize_mean,s_winsize_std,d_winsize_mean,d_winsize_sum,d_winsize_med,s_bytes_sum,s_bytes_max,d_winsize_std,s_bytes_std,d_bytes_sum,s_bytes_mean,d_bytes_mean,s_winsize_min,d_winsize_min,d_bytes_std,d_ttl_sum,d_winsize_max,dur,d_bytes_max,s_iat_sum,d_iat_max,s_winsize_max,s_iat_max,d_iat_sum,s_iat_mean,d_load,syn_ack,s_load,d_iat_mean,d_ttl_mean,s_iat_std,d_ttl_max,d_ttl_med,d_ttl_min,tcp_rtt,d_iat_med,s_iat_med,d_bytes_med,d_iat_std,s_ttl_sum,ack_cnt,d_iat_min,d_port,s_port,s_pkt_cnt,d_pkt_cnt,s_bytes_med,ack_dat,psh_cnt,s_iat_min,s_bytes_min,s_ttl_min,s_ttl_max,s_ttl_med,d_bytes_min,s_ttl_mean,syn_cnt,fin_cnt,rst_cnt,d_ttl_std,ece_cnt,cwr_cnt,proto,pkt_depth,neg_f1_score,compute_cost,Timestamp,source_experiment
False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,True,True,False,True,False,False,False,False,False,True,True,True,True,False,False,True,True,False,False,True,False,False,False,True,True,True,False,False,True,False,True,True,True,True,True,False,True,True,False,False,True,False,True,False,True,False,True,27.0,-0.8992075934804694,4975.0,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/trial/max50_init20_iter480_damp1.0
True,True,False,True,True,False,False,True,True,False,True,True,True,True,False,False,True,True,False,False,True,False,True,True,True,True,True,False,False,False,False,True,True,False,False,True,True,False,True,True,True,False,False,False,True,True,False,True,False,False,False,False,False,True,False,False,True,True,False,True,False,True,False,True,False,22.0,-0.9373820821467288,4387.0,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/trial/max50_init20_iter480_damp1.0
True,False,True,False,True,False,True,True,True,False,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,True,True,True,False,True,False,False,False,True,True,False,False,True,False,False,True,False,True,True,True,False,True,False,10.0,-0.9356118474381071,1997.0,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/trial/max50_init20_iter480_damp1.0
False,True,False,True,False,True,False,False,False,True,False,False,True,True,True,False,False,True,True,False,True,True,True,True,True,False,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True,False,False,False,True,False,True,True,True,False,False,True,True,False,True,True,False,True,False,False,False,True,False,True,40.0,-0.9416700013274923,8407.0,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/trial/max50_init20_iter480_damp1.0
False,False,False,True,False,True,True,True,True,False,True,False,False,True,True,False,False,True,False,True,False,True,False,True,True,True,False,False,True,True,True,False,True,False,False,True,True,False,False,True,True,False,True,False,True,False,False,False,True,True,True,False,True,False,False,True,True,False,False,True,True,False,False,False,True,17.0,-0.9448501161615279,3997.0,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/trial/max50_init20_iter480_damp1.0
True,True,True,False,True,False,False,False,False,True,False,True,True,False,False,True,True,False,True,False,True,False,True,False,False,False,True,True,False,False,False,True,False,True,True,False,False,True,True,False,False,True,False,True,False,True,True,True,False,False,False,True,False,True,True,False,False,True,True,False,False,True,True,True,False,35.0,-0.8961182926395629,6739.0,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/trial/max50_init20_iter480_damp1.0
True,False,False,True,True,False,True,False,False,True,False,True,False,True,False,False,True,True,True,True,False,False,False,True,True,False,False,True,True,False,True,False,True,True,True,False,True,False,False,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,True,True,True,True,False,47.0,-0.9134937904268094,6819.0,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/trial/max50_init20_iter480_damp1.0
False,True,True,False,False,True,False,True,True,False,True,False,True,False,True,True,False,False,False,False,True,True,True,False,False,True,True,False,False,True,False,True,False,False,False,True,False,True,True,False,False,False,False,True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,True,False,False,False,False,True,5.0,-0.9627967907592578,1102.0,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/trial/max50_init20_iter480_damp1.0
False,False,False,False,True,True,True,True,True,True,True,False,True,True,False,False,True,True,False,True,False,False,False,True,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,True,True,True,False,True,False,False,True,False,True,True,False,True,True,True,False,True,False,True,True,False,False,False,True,True,False,43.0,-0.8907815977310227,6823.0,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/trial/max50_init20_iter480_damp1.0
True,True,True,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,True,True,True,False,True,True,False,False,True,True,False,False,True,True,True,True,True,True,True,False,False,False,True,False,True,True,False,True,False,False,True,False,False,False,True,False,True,False,False,True,True,True,False,False,True,13.0,-0.9234725523917658,2661.0,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/trial/max50_init20_iter480_damp1.0
True,False,False,False,False,False,True,False,False,False,False,True,True,True,True,False,False,True,True,True,False,True,False,True,False,True,True,False,False,True,True,True,False,True,True,True,False,False,False,True,True,False,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,25.0,-0.924058335561796,3709.0,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/trial/max50_init20_iter480_damp1.0
False,True,True,True,True,True,False,True,True,True,True,False,False,False,False,True,True,False,False,False,True,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False,True,True,True,False,False,True,True,False,False,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,False,True,True,False,30.0,-0.8671538924310861,6611.0,0,/home/nafi/CATO/new_bayesian_optimizer/cato_dataset_comparision/trial/max50_init20_iter480_damp1.0
