s_winsize_sum,s_winsize_med,s_winsize_mean,s_winsize_std,d_winsize_mean,d_winsize_sum,d_winsize_med,s_bytes_sum,s_bytes_max,d_winsize_std,s_bytes_std,d_bytes_sum,s_bytes_mean,d_bytes_mean,s_winsize_min,d_winsize_min,d_bytes_std,d_ttl_sum,d_winsize_max,dur,d_bytes_max,s_iat_sum,d_iat_max,s_winsize_max,s_iat_max,d_iat_sum,s_iat_mean,d_load,syn_ack,s_load,d_iat_mean,d_ttl_mean,s_iat_std,d_ttl_max,d_ttl_med,d_ttl_min,tcp_rtt,d_iat_med,s_iat_med,d_bytes_med,d_iat_std,s_ttl_sum,ack_cnt,d_iat_min,d_port,s_port,s_pkt_cnt,d_pkt_cnt,s_bytes_med,ack_dat,psh_cnt,s_iat_min,s_bytes_min,s_ttl_min,s_ttl_max,s_ttl_med,d_bytes_min,s_ttl_mean,syn_cnt,fin_cnt,rst_cnt,d_ttl_std,ece_cnt,cwr_cnt,proto,pkt_depth,neg_f1_score,compute_cost,Timestamp,source_experiment
true,true,true,false,true,true,false,true,true,false,false,false,false,true,true,true,true,false,true,false,false,true,true,true,false,true,true,false,false,true,false,true,false,false,false,true,true,false,true,true,true,true,true,true,true,false,false,false,false,true,true,true,false,false,false,true,true,true,false,false,false,true,true,false,false,5.0,0.939266299125244,-700.0,false,
false,false,false,true,false,false,true,false,false,true,true,true,true,false,false,false,false,true,false,true,true,false,false,false,true,false,false,true,true,false,true,false,true,true,true,false,false,true,false,false,false,false,false,false,false,true,true,true,true,false,false,false,true,true,true,false,false,false,true,true,true,false,false,true,true,33.0,0.8860141470140341,-4235.0,false,
false,true,true,false,false,false,false,false,false,true,true,true,false,true,false,true,false,false,false,false,false,false,true,true,false,false,true,true,false,false,false,true,false,true,true,false,true,false,true,true,true,false,true,true,false,false,false,false,true,false,true,true,true,false,false,false,true,false,true,true,false,false,false,true,true,46.0,0.941754840767561,-6571.0,false,
true,false,false,true,true,true,true,true,true,false,false,false,true,false,true,false,true,true,true,true,true,true,false,false,true,true,false,false,true,true,true,false,true,false,false,true,false,true,false,false,false,true,false,false,true,true,true,true,false,true,false,false,false,true,true,true,false,true,false,false,true,true,true,false,false,18.0,0.9126378216580171,-2639.0,false,
true,true,false,true,true,true,false,false,false,true,true,false,false,false,true,false,true,true,false,false,false,true,true,false,true,false,true,true,false,true,false,true,true,true,true,false,false,true,true,false,false,false,true,false,false,false,true,false,false,true,true,false,false,false,true,true,false,true,true,true,false,true,false,false,false,29.0,0.9084526294600865,-4651.0,false,
false,false,true,false,false,false,true,true,true,false,false,true,true,true,false,true,false,false,true,true,true,false,false,true,false,true,false,false,true,false,true,false,false,false,false,true,true,false,false,true,true,true,false,true,true,true,false,true,true,false,false,true,true,true,false,false,true,false,false,false,true,false,true,true,true,7.0,0.9333884821267574,-727.0,false,
false,true,false,true,false,false,false,true,true,false,false,true,false,false,false,false,false,true,true,false,false,false,true,false,true,true,true,false,false,false,false,true,true,false,false,true,false,true,true,false,false,true,true,false,true,false,true,false,true,false,true,false,true,false,true,false,false,false,false,false,false,false,true,true,true,22.0,0.8770671934621318,-2787.0,false,
true,false,true,false,true,true,true,false,false,true,true,false,true,true,true,true,true,false,false,true,true,true,false,true,false,false,false,true,true,true,true,false,false,true,true,false,true,false,false,true,true,false,false,true,false,true,false,true,false,true,false,true,false,true,false,true,true,true,true,true,true,true,false,false,false,43.0,0.9310501983469023,-5379.0,false,
true,true,false,false,false,true,false,false,false,false,true,false,true,false,false,false,false,true,false,false,false,false,true,false,false,true,false,false,true,false,false,false,false,true,true,true,true,true,true,false,false,true,false,true,true,false,false,false,false,true,false,true,false,true,true,true,true,false,false,false,true,true,true,true,true,13.0,0.9242925232457445,-1858.0,false,
false,false,true,true,true,false,true,true,true,true,false,true,false,true,true,true,true,false,true,true,true,true,false,true,true,false,true,true,false,true,true,true,true,false,false,false,false,false,false,true,true,false,true,false,false,true,true,true,true,false,true,false,true,false,false,false,false,true,true,true,false,false,false,false,false,47.0,0.9334621437588455,-6095.0,false,
false,true,false,false,true,false,false,true,true,true,false,true,true,false,true,false,true,true,true,false,false,true,true,false,false,false,false,true,true,true,false,false,false,false,false,false,true,true,true,false,false,false,false,true,false,false,false,false,true,false,false,true,true,true,true,false,true,true,true,true,true,false,false,false,false,37.0,0.9048062382595575,-5323.0,false,
true,false,true,true,false,true,true,false,false,false,true,false,false,true,false,true,false,false,false,true,true,false,false,true,true,true,true,false,false,false,true,true,true,true,true,true,false,false,false,true,true,true,true,false,true,true,true,true,false,true,true,false,false,false,false,true,false,false,false,false,false,true,true,true,true,3.0,0.9361933990847133,-718.0,false,
true,true,true,true,false,true,false,true,true,true,false,false,true,true,false,true,false,false,true,false,false,false,true,true,true,false,false,true,true,false,false,false,true,false,false,false,false,false,true,true,true,false,false,false,false,false,true,false,false,true,false,false,false,true,false,true,false,false,true,true,true,true,false,true,true,39.0,0.9426801325836337,-5839.0,false,
false,false,false,false,true,false,true,false,false,false,true,true,false,false,true,false,true,true,false,true,true,true,false,false,false,true,true,false,false,true,true,true,false,true,true,true,true,true,false,false,false,true,true,true,true,true,false,true,true,false,true,true,true,false,true,false,true,true,false,false,false,false,true,false,false,24.0,0.9543225738261979,-3111.0,false,
false,true,true,true,true,false,false,false,false,false,true,true,true,true,true,true,true,false,false,false,false,true,true,true,true,true,false,false,true,true,false,false,true,true,true,true,false,false,true,true,true,true,false,false,true,false,true,false,true,false,false,false,true,true,false,false,false,true,false,false,true,false,true,false,false,12.0,0.9535502554960082,-1815.0,false,
true,false,false,false,false,true,true,true,true,true,false,false,false,false,false,false,false,true,true,true,true,false,false,false,false,false,true,true,false,false,true,true,false,false,false,false,true,true,false,false,false,false,true,true,false,true,false,true,false,true,true,true,false,false,true,true,true,false,true,true,false,true,false,true,true,28.0,0.8409016059521391,-3433.0,false,
true,true,true,true,true,false,true,false,true,false,false,false,true,false,true,true,false,true,false,false,true,false,false,false,true,true,true,true,false,true,false,true,false,true,false,false,true,false,true,false,true,true,false,false,true,true,false,true,false,false,false,false,false,true,true,false,false,false,true,false,true,false,true,false,false,41.0,0.9453318480406345,-4615.0,false,
false,false,false,false,false,true,false,true,false,true,true,true,false,true,false,false,true,false,true,true,false,true,true,true,false,false,false,false,true,false,true,false,true,false,true,true,false,true,false,true,false,false,true,true,false,false,true,false,true,true,true,true,true,false,false,true,true,true,false,true,false,true,false,true,true,20.0,0.907359157470807,-3301.0,false,
false,true,true,true,false,true,true,true,false,true,true,true,true,false,false,true,true,true,true,false,true,true,false,false,true,false,true,false,false,false,false,true,false,false,true,true,true,false,true,false,true,false,false,false,false,true,false,true,true,true,false,false,true,true,true,true,false,true,false,true,true,true,false,true,true,10.0,0.945446496147536,-1759.0,false,
