s_winsize_sum,s_winsize_med,s_winsize_mean,s_winsize_std,d_winsize_mean,d_winsize_sum,d_winsize_med,s_bytes_sum,s_bytes_max,d_winsize_std,s_bytes_std,d_bytes_sum,s_bytes_mean,d_bytes_mean,s_winsize_min,d_winsize_min,d_bytes_std,d_ttl_sum,d_winsize_max,dur,d_bytes_max,s_iat_sum,d_iat_max,s_winsize_max,s_iat_max,d_iat_sum,s_iat_mean,d_load,syn_ack,s_load,d_iat_mean,d_ttl_mean,s_iat_std,d_ttl_max,d_ttl_med,d_ttl_min,tcp_rtt,d_iat_med,s_iat_med,d_bytes_med,d_iat_std,s_ttl_sum,ack_cnt,d_iat_min,d_port,s_port,s_pkt_cnt,d_pkt_cnt,s_bytes_med,ack_dat,psh_cnt,s_iat_min,s_bytes_min,s_ttl_min,s_ttl_max,s_ttl_med,d_bytes_min,s_ttl_mean,syn_cnt,fin_cnt,rst_cnt,d_ttl_std,ece_cnt,cwr_cnt,proto,pkt_depth,neg_f1_score,compute_cost,Timestamp,source_experiment
True,True,True,True,False,False,False,True,True,False,True,True,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,True,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,True,True,False,True,False,28.0,-0.9183411866443505,3387.0,0,
False,False,False,False,True,True,True,False,False,True,False,False,True,False,True,False,True,False,True,True,False,True,True,True,False,True,True,True,True,False,True,False,True,True,False,False,False,False,True,True,False,True,True,False,True,True,True,True,False,True,True,False,True,False,True,True,True,True,False,True,False,False,True,False,True,19.0,-0.9433629971949171,2383.0,0,
False,True,True,True,True,True,False,False,False,True,False,False,False,True,True,True,True,True,True,False,True,True,False,False,True,True,False,True,False,False,False,True,False,True,False,False,True,True,False,False,True,True,False,True,True,False,False,False,False,True,False,True,True,True,False,True,False,True,False,True,True,False,True,False,True,9.0,-0.9178550471232395,1115.0,0,
True,False,False,False,False,False,True,True,True,False,True,True,True,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,True,True,True,False,True,False,True,True,False,False,True,True,False,False,True,False,False,True,True,True,True,False,True,False,False,False,True,False,True,False,True,False,False,True,False,True,False,50.0,-0.8876262049123221,6163.0,0,
True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,True,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,True,True,False,True,False,False,True,True,True,True,True,False,22.0,-0.9253541079941876,2959.0,0,
False,False,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,False,False,True,True,True,True,True,False,True,False,True,True,False,True,False,True,False,True,True,True,True,False,False,True,False,True,True,False,False,False,False,False,True,37.0,-0.8876223064657319,6063.0,0,
False,True,False,False,True,True,False,True,True,False,True,False,False,False,True,False,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,True,True,True,True,True,True,False,True,False,False,False,True,40.0,-0.9130158958555208,4915.0,0,
True,False,True,True,False,False,True,False,False,True,False,True,True,True,False,True,False,True,True,True,False,False,True,False,True,True,True,True,True,True,True,False,False,True,False,False,True,True,True,False,True,True,True,True,True,True,False,True,True,False,True,True,False,False,False,False,False,False,False,True,False,True,True,True,False,7.0,-0.9546001226549022,928.0,0,
True,True,False,True,True,False,False,False,False,False,False,True,True,False,True,False,True,False,True,False,True,True,False,True,True,False,True,False,True,False,False,False,False,True,False,True,True,False,False,True,False,False,True,True,False,False,False,False,True,False,True,True,False,False,True,False,False,True,True,False,False,True,False,False,True,45.0,-0.914368415105155,5027.0,0,
False,False,True,False,False,True,True,True,True,True,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,True,True,True,True,False,True,False,False,True,True,False,True,True,False,False,True,True,True,True,False,True,False,False,True,True,False,True,True,False,False,True,True,False,True,True,False,11.0,-0.9044458385046734,1514.0,0,
